[Run] id=bc_targets_separation_20260917_222624_3547901
  目录=./results/CIFAR10/runs/bc_targets_separation_20260917_222624_3547901_a0.1
  acc.csv / metrics.csv / diag.csv / config.json / train.log / checkpoint.pt
Files already downloaded and verified
[HParams] METHOD_REV=13 adaptive=1 capA=0.0/0.0 capB=0.0 warmup=[0.3,0.4] aux_ratio=0.3 geom=[0.12,0.35] gate_anneal=0.15 p2_exit_A=0.08 tau_w=0.95 tau0=0.92 d0=0.1 etaB=0.6 pp_b=0.06 p3_boost=0.15 pp_a=0.08 geom_controls={'mode': 'trusted', 'trust_min_count': 4, 'tau_ceiling': 0.99, 'complete_gate': 1, 'b_conf_rescue': 0, 'phase3_geom_boost': 0.15, 'trusted_weight_start': 30, 'trusted_weight_end': 60, 'bc_teacher': 1, 'bc_version': 1, 'bc_ema': 0.99, 'bc_feature_weight': 0.1, 'bc_ramp': [30, 90], 'bc_targets': {'version': 1, 'start': 60, 'end': 120, 'history_decay': 0.7, 'max_age': 20, 'min_observations': 2, 'candidate_mass': 0.8, 'max_candidates': 3, 'teacher_conf': 0.85, 'history_conf': 0.75, 'mode': 'hard_set_soft', 'prototype': 'original_label_only_when_hard', 'calibration': 'reference_support_only'}, 'target_experiment': {'version': 1, 'mode': 'separation', 'ramp': [60, 120], 'weight': 0.03, 'temperature': 0.2, 'max_negative_weight': 2.0, 'positives': 'true_labels_only', 'unique_ids': True, 'second_view_bn': 'batch_stats_without_buffer_update'}} lr_controls={'initial': 0.15, 'minimum': 0.0001, 'rounds': 300, 'mid_start': 60, 'mid_end': 90, 'mid_factor': 1.0} raw_tau_max=1.0120 teacher=0 mu_p=0.97 lA=1.0 lB=1.0 lP=0.1 seed_model=7 seed_partition=0 seed_sample=7 workers=16 protoWrite=floor0.0/extra0.0 diag=1
dataset:CIFAR10
num_classes:10
num_labeled:500
non_iid:0.1
mu:2
num_rounds:300
batch_label:128, batch_unlabel:128
client 0 labeled number per class : [57, 38, 3, 0, 9, 0, 28, 7, 57, 51]
client 0 unlabeled number per class  : [446, 460, 0, 3, 13, 0, 441, 0, 435, 452]
client 1 labeled number per class : [0, 11, 47, 37, 33, 49, 18, 55, 0, 0]
client 1 unlabeled number per class  : [0, 7, 466, 418, 423, 470, 1, 465, 0, 0]
client 2 labeled number per class : [17, 0, 51, 0, 39, 59, 0, 0, 47, 37]
client 2 unlabeled number per class  : [448, 289, 48, 441, 437, 64, 472, 0, 51, 0]
client 3 labeled number per class : [25, 57, 1, 55, 1, 9, 43, 45, 1, 13]
client 3 unlabeled number per class  : [1, 160, 430, 1, 2, 365, 1, 459, 364, 467]
client 4 labeled number per class : [28, 0, 44, 3, 0, 0, 55, 29, 65, 26]
client 4 unlabeled number per class  : [467, 0, 426, 0, 444, 475, 3, 216, 219, 0]
client 5 labeled number per class : [6, 45, 2, 56, 56, 41, 1, 16, 1, 26]
client 5 unlabeled number per class  : [1, 411, 1, 461, 0, 1, 465, 231, 229, 450]
client 6 labeled number per class : [42, 46, 8, 28, 21, 62, 1, 42, 0, 0]
client 6 unlabeled number per class  : [414, 0, 83, 463, 444, 401, 445, 0, 0, 0]
client 7 labeled number per class : [26, 1, 37, 20, 30, 1, 54, 1, 36, 44]
client 7 unlabeled number per class  : [1, 475, 329, 2, 1, 35, 13, 488, 457, 449]
client 8 labeled number per class : [52, 58, 22, 54, 38, 0, 26, 0, 0, 0]
client 8 unlabeled number per class  : [221, 0, 0, 473, 0, 449, 0, 224, 448, 435]
client 9 labeled number per class : [1, 1, 31, 1, 13, 34, 16, 50, 48, 55]
client 9 unlabeled number per class  : [213, 439, 439, 1, 463, 1, 457, 237, 0, 0]
client 10 labeled number per class : [2, 43, 56, 30, 45, 45, 29, 0, 0, 0]
client 10 unlabeled number per class  : [242, 446, 480, 144, 407, 445, 86, 0, 0, 0]
client 11 labeled number per class : [52, 11, 1, 18, 1, 1, 21, 53, 44, 48]
client 11 unlabeled number per class  : [240, 1, 1, 292, 48, 1, 338, 430, 452, 447]
client 12 labeled number per class : [34, 9, 0, 55, 2, 12, 34, 2, 51, 51]
client 12 unlabeled number per class  : [458, 444, 145, 19, 463, 451, 202, 0, 68, 0]
client 13 labeled number per class : [12, 31, 51, 1, 50, 38, 17, 50, 0, 0]
client 13 unlabeled number per class  : [1, 1, 308, 405, 1, 1, 231, 471, 389, 442]
client 14 labeled number per class : [45, 25, 0, 17, 0, 0, 0, 56, 60, 47]
client 14 unlabeled number per class  : [462, 453, 389, 0, 4, 0, 462, 10, 470, 0]
client 15 labeled number per class : [0, 18, 54, 25, 61, 48, 44, 0, 0, 0]
client 15 unlabeled number per class  : [0, 0, 51, 450, 452, 434, 1, 408, 1, 453]
client 16 labeled number per class : [49, 41, 0, 51, 0, 43, 62, 4, 0, 0]
client 16 unlabeled number per class  : [311, 0, 475, 494, 0, 0, 0, 36, 477, 457]
client 17 labeled number per class : [1, 2, 47, 1, 52, 1, 1, 42, 44, 59]
client 17 unlabeled number per class  : [111, 447, 1, 1, 442, 431, 446, 371, 0, 0]
client 18 labeled number per class : [9, 62, 0, 47, 48, 0, 0, 40, 1, 43]
client 18 unlabeled number per class  : [463, 352, 0, 298, 196, 0, 53, 0, 440, 448]
client 19 labeled number per class : [42, 1, 45, 1, 1, 57, 50, 8, 45, 0]
client 19 unlabeled number per class  : [0, 115, 428, 134, 260, 476, 383, 454, 0, 0]
[Schedule] adaptive=1 warmup=[0.30,0.40] geom=[0.12,0.35] capA=0.00/0.00 protoWrite=floor0.00/extra0.00 geom_rel=Phase2 gate 0→1 over 45 rounds target A-prec=0.9 A-ratio=0.22
Server:   0%|          | 0/300 [00:00<?, ?it/s]Round 1/300 | Acc:0.1000 Best:0.1000@1 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:1.1872 (sup:1.155 A:0.032 B:0.000 proto:2.070) | Route: A:5.39% B:0.00% C:94.61% capA:0.00 | MA:5.39% geomDrop:0.00% | A-Prec:46.71% B-Prec:0.00% | proto Ashare:9.55% Auniq:4998.7 dirty:53.30% lab×48.6 | rel r:0.584 m:0.000 alpha:1.000
Server:   0%|          | 1/300 [02:29<12:23:48, 149.26s/it]Round 2/300 | Acc:0.2229 Best:0.2229@2 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:1.0055 (sup:0.944 A:0.061 B:0.000 proto:2.183) | Route: A:9.19% B:0.00% C:90.81% capA:0.00 | MA:9.19% geomDrop:0.00% | A-Prec:46.62% B-Prec:0.00% | proto Ashare:15.28% Auniq:6931.0 dirty:53.34% lab×48.6 | rel r:0.614 m:0.000 alpha:1.000
Server:   1%|          | 2/300 [04:47<11:48:37, 142.68s/it]Round 3/300 | Acc:0.3347 Best:0.3347@3 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.8374 (sup:0.748 A:0.090 B:0.000 proto:2.210) | Route: A:14.25% B:0.00% C:85.75% capA:0.00 | MA:14.25% geomDrop:0.00% | A-Prec:47.56% B-Prec:0.00% | proto Ashare:21.87% Auniq:9651.1 dirty:52.40% lab×48.6 | rel r:0.674 m:0.000 alpha:1.000
Server:   1%|          | 3/300 [07:08<11:42:19, 141.88s/it]Round 4/300 | Acc:0.3128 Best:0.3347@3 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.7475 (sup:0.631 A:0.116 B:0.000 proto:2.013) | Route: A:19.29% B:0.00% C:80.71% capA:0.00 | MA:19.29% geomDrop:0.00% | A-Prec:50.74% B-Prec:0.00% | proto Ashare:27.51% Auniq:11556.1 dirty:49.21% lab×48.6 | rel r:0.711 m:0.000 alpha:1.000
Server:   1%|▏         | 4/300 [09:38<11:56:35, 145.25s/it]Round 5/300 | Acc:0.2616 Best:0.3347@3 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.8000 (sup:0.687 A:0.113 B:0.000 proto:2.141) | Route: A:18.75% B:0.00% C:81.25% capA:0.00 | MA:18.75% geomDrop:0.00% | A-Prec:54.99% B-Prec:0.00% | proto Ashare:26.97% Auniq:11016.3 dirty:44.95% lab×48.6 | rel r:0.689 m:0.000 alpha:1.000
Server:   2%|▏         | 5/300 [12:12<12:09:30, 148.37s/it]Round 6/300 | Acc:0.4375 Best:0.4375@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.6032 (sup:0.455 A:0.148 B:0.000 proto:2.130) | Route: A:23.80% B:0.00% C:76.20% capA:0.00 | MA:23.80% geomDrop:0.00% | A-Prec:54.74% B-Prec:0.00% | proto Ashare:31.91% Auniq:13174.9 dirty:45.20% lab×48.6 | rel r:0.737 m:0.000 alpha:1.000
Server:   2%|▏         | 6/300 [14:45<12:15:24, 150.08s/it]Round 7/300 | Acc:0.3511 Best:0.4375@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.6030 (sup:0.447 A:0.156 B:0.000 proto:2.147) | Route: A:25.63% B:0.00% C:74.37% capA:0.00 | MA:25.63% geomDrop:0.00% | A-Prec:50.56% B-Prec:0.00% | proto Ashare:33.55% Auniq:13396.2 dirty:49.36% lab×48.6 | rel r:0.749 m:0.000 alpha:1.000
Server:   2%|▏         | 7/300 [17:18<12:17:03, 150.93s/it]Round 8/300 | Acc:0.4971 Best:0.4971@8 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.5511 (sup:0.370 A:0.181 B:0.000 proto:2.080) | Route: A:30.70% B:0.00% C:69.30% capA:0.00 | MA:30.70% geomDrop:0.00% | A-Prec:65.18% B-Prec:0.00% | proto Ashare:37.72% Auniq:14662.5 dirty:34.72% lab×48.6 | rel r:0.777 m:0.000 alpha:1.000
Server:   3%|▎         | 8/300 [19:57<12:26:31, 153.39s/it]Round 9/300 | Acc:0.3836 Best:0.4971@8 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.4914 (sup:0.304 A:0.188 B:0.000 proto:2.073) | Route: A:34.42% B:0.00% C:65.58% capA:0.00 | MA:34.42% geomDrop:0.00% | A-Prec:53.55% B-Prec:0.00% | proto Ashare:40.46% Auniq:15112.5 dirty:46.38% lab×48.6 | rel r:0.790 m:0.000 alpha:1.000
Server:   3%|▎         | 9/300 [22:33<12:28:42, 154.37s/it]Round 10/300 | Acc:0.4790 Best:0.4971@8 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.4566 (sup:0.253 A:0.203 B:0.000 proto:1.988) | Route: A:38.25% B:0.00% C:61.75% capA:0.00 | MA:38.25% geomDrop:0.00% | A-Prec:54.59% B-Prec:0.00% | proto Ashare:43.04% Auniq:15940.4 dirty:45.32% lab×48.6 | rel r:0.810 m:0.000 alpha:1.000
Server:   3%|▎         | 10/300 [25:09<12:28:26, 154.85s/it]Round 11/300 | Acc:0.5396 Best:0.5396@11 Phase:1 gate:0.00 | tau0:0.920 d0:0.100 etaB:0.600 tw:0.950 lA:1.00 lB:1.00 protoA:1 | Loss:0.4520 (sup:0.250 A:0.202 B:0.000 proto:2.008) | Route: A:36.23% B:0.00% C:63.77% capA:0.00 | MA:36.23% geomDrop:0.00% | A-Prec:46.46% B-Prec:0.00% | proto Ashare:41.71% Auniq:15813.7 dirty:53.46% lab×48.6 | rel r:0.802 m:0.000 alpha:1.000
