round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,L_feature_effective,teacher_b_visits,teacher_b_precision,bc_feature_std,repair_recover_gate,repair_correct_gate,repair_c0_a_visits,repair_c0_recover_visits,repair_c0_recover_correct,repair_c0_added_correct_weight,repair_c0_added_wrong_weight,repair_c0_correction_visits,repair_c0_correction_student_correct,repair_c0_correction_teacher_correct,repair_c0_correction_fix_visits,repair_c0_correction_harm_visits,repair_c0_old_wrong_weight,repair_c0_new_target_wrong_mass,repair_c0_prototype_removed_correct,repair_c0_prototype_removed_wrong,repair_c1_a_visits,repair_c1_recover_visits,repair_c1_recover_correct,repair_c1_added_correct_weight,repair_c1_added_wrong_weight,repair_c1_correction_visits,repair_c1_correction_student_correct,repair_c1_correction_teacher_correct,repair_c1_correction_fix_visits,repair_c1_correction_harm_visits,repair_c1_old_wrong_weight,repair_c1_new_target_wrong_mass,repair_c1_prototype_removed_correct,repair_c1_prototype_removed_wrong,repair_c2_a_visits,repair_c2_recover_visits,repair_c2_recover_correct,repair_c2_added_correct_weight,repair_c2_added_wrong_weight,repair_c2_correction_visits,repair_c2_correction_student_correct,repair_c2_correction_teacher_correct,repair_c2_correction_fix_visits,repair_c2_correction_harm_visits,repair_c2_old_wrong_weight,repair_c2_new_target_wrong_mass,repair_c2_prototype_removed_correct,repair_c2_prototype_removed_wrong,repair_c3_a_visits,repair_c3_recover_visits,repair_c3_recover_correct,repair_c3_added_correct_weight,repair_c3_added_wrong_weight,repair_c3_correction_visits,repair_c3_correction_student_correct,repair_c3_correction_teacher_correct,repair_c3_correction_fix_visits,repair_c3_correction_harm_visits,repair_c3_old_wrong_weight,repair_c3_new_target_wrong_mass,repair_c3_prototype_removed_correct,repair_c3_prototype_removed_wrong,repair_c4_a_visits,repair_c4_recover_visits,repair_c4_recover_correct,repair_c4_added_correct_weight,repair_c4_added_wrong_weight,repair_c4_correction_visits,repair_c4_correction_student_correct,repair_c4_correction_teacher_correct,repair_c4_correction_fix_visits,repair_c4_correction_harm_visits,repair_c4_old_wrong_weight,repair_c4_new_target_wrong_mass,repair_c4_prototype_removed_correct,repair_c4_prototype_removed_wrong,repair_c5_a_visits,repair_c5_recover_visits,repair_c5_recover_correct,repair_c5_added_correct_weight,repair_c5_added_wrong_weight,repair_c5_correction_visits,repair_c5_correction_student_correct,repair_c5_correction_teacher_correct,repair_c5_correction_fix_visits,repair_c5_correction_harm_visits,repair_c5_old_wrong_weight,repair_c5_new_target_wrong_mass,repair_c5_prototype_removed_correct,repair_c5_prototype_removed_wrong,repair_c6_a_visits,repair_c6_recover_visits,repair_c6_recover_correct,repair_c6_added_correct_weight,repair_c6_added_wrong_weight,repair_c6_correction_visits,repair_c6_correction_student_correct,repair_c6_correction_teacher_correct,repair_c6_correction_fix_visits,repair_c6_correction_harm_visits,repair_c6_old_wrong_weight,repair_c6_new_target_wrong_mass,repair_c6_prototype_removed_correct,repair_c6_prototype_removed_wrong,repair_c7_a_visits,repair_c7_recover_visits,repair_c7_recover_correct,repair_c7_added_correct_weight,repair_c7_added_wrong_weight,repair_c7_correction_visits,repair_c7_correction_student_correct,repair_c7_correction_teacher_correct,repair_c7_correction_fix_visits,repair_c7_correction_harm_visits,repair_c7_old_wrong_weight,repair_c7_new_target_wrong_mass,repair_c7_prototype_removed_correct,repair_c7_prototype_removed_wrong,repair_c8_a_visits,repair_c8_recover_visits,repair_c8_recover_correct,repair_c8_added_correct_weight,repair_c8_added_wrong_weight,repair_c8_correction_visits,repair_c8_correction_student_correct,repair_c8_correction_teacher_correct,repair_c8_correction_fix_visits,repair_c8_correction_harm_visits,repair_c8_old_wrong_weight,repair_c8_new_target_wrong_mass,repair_c8_prototype_removed_correct,repair_c8_prototype_removed_wrong,repair_c9_a_visits,repair_c9_recover_visits,repair_c9_recover_correct,repair_c9_added_correct_weight,repair_c9_added_wrong_weight,repair_c9_correction_visits,repair_c9_correction_student_correct,repair_c9_correction_teacher_correct,repair_c9_correction_fix_visits,repair_c9_correction_harm_visits,repair_c9_old_wrong_weight,repair_c9_new_target_wrong_mass,repair_c9_prototype_removed_correct,repair_c9_prototype_removed_wrong,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
97,2,0.11452168466225081,0.0585262035705365,1.0,0.644690583881579,0.9212694161171927,0.5939337177888343,0.07272988149749213,0.24957339638157894,0.581922174263578,0.1452322934607142,0.058418240530514406,0.1057360197368421,0,0.0,0,0.017453389575147363,0.18025473631722363,0.13575267022181498,0.040496257059276106,0.3824158042360796,0.00845875106261749,48557,0.5723582593652821,0.0370887347399012,1.0,0.6791839747726501,9048.0,1489.0,1368.0,88.66985023021698,10.627075791358948,0.0,0.0,0.0,0.0,0.0,1171.3133634924889,1181.9404392838478,0.0,0.0,16950.0,1386.0,1354.0,111.79094237089157,2.8700696229934692,0.0,0.0,0.0,0.0,0.0,1785.4904925227165,1788.36056214571,0.0,0.0,9533.0,349.0,329.0,29.160115361213684,2.0213100910186768,0.0,0.0,0.0,0.0,0.0,899.5925053358078,901.6138154268265,0.0,0.0,16047.0,741.0,692.0,52.39622986316681,4.521293222904205,0.0,0.0,0.0,0.0,0.0,3965.80749976635,3970.328792989254,0.0,0.0,10651.0,977.0,927.0,82.23667061328888,5.1582377552986145,0.0,0.0,0.0,0.0,0.0,2304.4023151397705,2309.560552895069,0.0,0.0,11801.0,658.0,621.0,51.05060124397278,3.0712581276893616,0.0,0.0,0.0,0.0,0.0,1568.915357530117,1571.9866156578064,0.0,0.0,9284.0,1387.0,1119.0,73.46813225746155,23.65137231349945,0.0,0.0,0.0,0.0,0.0,1489.9612850546837,1513.6126573681831,0.0,0.0,15419.0,1185.0,1166.0,67.32235515117645,2.4534929394721985,0.0,0.0,0.0,0.0,0.0,476.6065596342087,479.0600525736809,0.0,0.0,11755.0,696.0,687.0,57.52708828449249,0.6874054074287415,0.0,0.0,0.0,0.0,0.0,231.00155466794968,231.68896007537842,0.0,0.0,14943.0,3620.0,3573.0,234.66992032527924,3.7957603335380554,0.0,0.0,0.0,0.0,0.0,198.37750136852264,202.1732617020607,0.0,0.0,0.3824158043061432,194560,760,0.46039934087740747,0.8837736430921053,40,1.0
98,2,0.11385202570298474,0.07597595192178702,1.0,0.6174650493421052,0.9151344841034282,0.5650635593815854,0.09584639839533912,0.26949013157894736,0.590462143369517,0.1591237207090384,0.06726109133114254,0.11304481907894737,0,0.0,0,0.01851241648163475,0.17558403241595155,0.12893894067230194,0.03933220429444,0.3714335820260519,0.009065988161723668,52432,0.6348603906011596,0.03694794921106414,1.0,0.7033683215379001,11210.0,1465.0,1393.0,97.4565047621727,3.669183909893036,0.0,0.0,0.0,0.0,0.0,1121.0976797938347,1124.7668637037277,0.0,0.0,18654.0,3604.0,2814.0,279.4549961090088,57.598879873752594,0.0,0.0,0.0,0.0,0.0,2994.519414126873,3052.1182940006256,0.0,0.0,6593.0,179.0,158.0,11.721013367176056,1.4511941075325012,0.0,0.0,0.0,0.0,0.0,1883.7331423163414,1885.184336423874,0.0,0.0,12043.0,867.0,748.0,56.57811951637268,11.909254133701324,0.0,0.0,0.0,0.0,0.0,2353.7044575214386,2365.61371165514,0.0,0.0,11806.0,708.0,605.0,46.499789237976074,9.494115173816681,0.0,0.0,0.0,0.0,0.0,2947.5111587643623,2957.005273938179,0.0,0.0,9930.0,436.0,328.0,20.51984065771103,10.215282618999481,0.0,0.0,0.0,0.0,0.0,3867.3527482151985,3877.568030834198,0.0,0.0,9467.0,781.0,723.0,48.65372884273529,5.583236813545227,0.0,0.0,0.0,0.0,0.0,2099.9520334601402,2105.5352702736855,0.0,0.0,9313.0,843.0,813.0,52.69081401824951,4.034689784049988,0.0,0.0,0.0,0.0,0.0,229.68129444122314,233.71598422527313,0.0,0.0,14046.0,413.0,405.0,32.62393635511398,0.34367847442626953,0.0,0.0,0.0,0.0,0.0,343.4826481938362,343.8263266682625,0.0,0.0,17072.0,2222.0,2215.0,159.8980684876442,0.6812360882759094,0.0,0.0,0.0,0.0,0.0,701.8599488735199,702.5411849617958,0.0,0.0,0.37143358203925586,194560,760,0.44063667133450507,0.8470497532894737,40,1.0
99,2,0.11317810618127784,0.09549150281252627,1.0,0.6361276726973685,0.9181291437108594,0.5840473554244167,0.06086989887316074,0.25392166940789473,0.5881102641309328,0.14933394006404438,0.05558940900832807,0.10995065789473685,0,0.0,0,0.01598234381258647,0.17703118047824032,0.13035739711730887,0.03562593936331963,0.36835307714396076,0.00935621637250542,49403,0.6006112989089731,0.036911047642168245,1.0,0.7269952498697734,15331.0,1079.0,1064.0,64.20145159959793,0.6183196306228638,0.0,0.0,0.0,0.0,0.0,1003.9626576304436,1004.5809772610664,0.0,0.0,17367.0,2608.0,2539.0,185.4396612048149,7.64552915096283,0.0,0.0,0.0,0.0,0.0,526.7664906382561,534.4120197892189,0.0,0.0,11658.0,451.0,411.0,30.553371965885162,3.9928771257400513,0.0,0.0,0.0,0.0,0.0,1691.8348029851913,1695.8276801109314,0.0,0.0,8500.0,491.0,463.0,40.35368376970291,2.4418404698371887,0.0,0.0,0.0,0.0,0.0,1098.5682018995285,1101.0100423693657,0.0,0.0,12235.0,1485.0,1438.0,124.50502496957779,5.502423405647278,0.0,0.0,0.0,0.0,0.0,1092.472417473793,1097.9748408794403,0.0,0.0,8916.0,342.0,302.0,19.832691192626953,3.349307894706726,0.0,0.0,0.0,0.0,0.0,937.9358392357826,941.2851471304893,0.0,0.0,10552.0,1001.0,816.0,65.06044107675552,18.25405341386795,0.0,0.0,0.0,0.0,0.0,2326.3016587495804,2344.5557121634483,0.0,0.0,10217.0,606.0,579.0,38.75498801469803,2.3768749833106995,0.0,0.0,0.0,0.0,0.0,995.9033138155937,998.2801887989044,0.0,0.0,15555.0,1401.0,1384.0,152.63328623771667,1.2555826306343079,0.0,0.0,0.0,0.0,0.0,477.0917521119118,478.3473347425461,0.0,0.0,13434.0,1625.0,1571.0,167.08234894275665,6.12178361415863,0.0,0.0,0.0,0.0,0.0,1640.4518185257912,1646.5736021399498,0.0,0.0,0.36835307718107574,194560,760,0.4473738021756473,0.8395816200657895,40,1.0
100,2,0.11249999999999998,0.116977778440511,1.0,0.6340974506578947,0.9222094752041227,0.5847706771994892,0.06896103251921504,0.25699013157894735,0.5876099162864685,0.1510099497035538,0.05862288754678478,0.1089124177631579,0,0.0,0,0.014465645667836438,0.17260646508320382,0.1238021998372125,0.036010771852574855,0.35585432919745613,0.008969246756628548,50000,0.63816,0.03724509436931265,1.0,0.7499999999999999,12638.0,1072.0,993.0,75.67981427907944,6.5371094942092896,0.0,0.0,0.0,0.0,0.0,1256.2106289863586,1262.747738480568,0.0,0.0,14701.0,1501.0,1452.0,95.89516174793243,4.690908253192902,0.0,0.0,0.0,0.0,0.0,344.1467961072922,348.8377043604851,0.0,0.0,13340.0,691.0,669.0,53.79494094848633,2.033277928829193,0.0,0.0,0.0,0.0,0.0,1515.8112890720367,1517.844567000866,0.0,0.0,6005.0,381.0,321.0,17.78645384311676,5.371973812580109,0.0,0.0,0.0,0.0,0.0,2118.819150209427,2124.191124022007,0.0,0.0,8771.0,461.0,434.0,36.87076109647751,2.012085974216461,0.0,0.0,0.0,0.0,0.0,1031.786556839943,1033.7986428141594,0.0,0.0,11293.0,144.0,136.0,6.492238283157349,0.6952499151229858,0.0,0.0,0.0,0.0,0.0,2294.898908019066,2295.594157934189,0.0,0.0,11769.0,1439.0,1266.0,95.100337266922,17.62210363149643,0.0,0.0,0.0,0.0,0.0,2256.9539616703987,2274.576065301895,0.0,0.0,15078.0,941.0,914.0,55.85254907608032,2.7066808342933655,0.0,0.0,0.0,0.0,0.0,1041.1461554765701,1043.8528363108635,0.0,0.0,17584.0,2899.0,2859.0,312.74847465753555,5.262844264507294,0.0,0.0,0.0,0.0,0.0,705.1340793967247,710.396923661232,0.0,0.0,12191.0,1922.0,1872.0,110.50693863630295,5.992743074893951,0.0,0.0,0.0,0.0,0.0,799.2259771227837,805.2187201976776,0.0,0.0,0.3558543293295722,194560,760,0.4447862373763009,0.8458984375,40,1.0
101,2,0.11181778152113558,0.1403300998306744,1.0,0.64453125,0.9121831917040276,0.5879305727779865,0.0853153076206677,0.2510536595394737,0.5731911997112236,0.14390174830332397,0.057951747498622065,0.10441509046052631,0,0.0,0,0.013387636467201734,0.17678148328865828,0.12158841264777277,0.036585082186287955,0.35790756238391624,0.00956494779399547,48845,0.6385709898659023,0.0369671493768692,1.0,0.7723195175075135,9985.0,1269.0,1156.0,75.45887595415115,11.747203826904297,0.0,0.0,0.0,0.0,0.0,1034.0765925049782,1045.8237963318825,0.0,0.0,15598.0,1790.0,1613.0,127.32594358921051,8.253155946731567,0.0,0.0,0.0,0.0,0.0,2141.299525797367,2149.5526817440987,0.0,0.0,8137.0,755.0,733.0,65.70382958650589,1.6504784226417542,0.0,0.0,0.0,0.0,0.0,909.0873302221298,910.7378086447716,0.0,0.0,11024.0,292.0,282.0,20.398538529872894,0.5321633815765381,0.0,0.0,0.0,0.0,0.0,2624.8722264766693,2625.404389858246,0.0,0.0,10400.0,502.0,461.0,30.191913187503815,3.274324357509613,0.0,0.0,0.0,0.0,0.0,2387.4644588828087,2390.7387832403183,0.0,0.0,9603.0,459.0,422.0,26.86686933040619,3.7200644612312317,0.0,0.0,0.0,0.0,0.0,1952.3996679782867,1956.119732439518,0.0,0.0,11228.0,1722.0,1567.0,114.66178315877914,15.021200180053711,0.0,0.0,0.0,0.0,0.0,1392.2025554180145,1407.2237555980682,0.0,0.0,16150.0,1947.0,1902.0,114.15243810415268,4.018746435642242,0.0,0.0,0.0,0.0,0.0,1181.8642882108688,1185.883034646511,0.0,0.0,14889.0,1751.0,1677.0,169.72696089744568,7.1554747223854065,0.0,0.0,0.0,0.0,0.0,673.0155014395714,680.1709761619568,0.0,0.0,18386.0,3203.0,3038.0,211.4345154762268,19.066833317279816,0.0,0.0,0.0,0.0,0.0,2228.224505364895,2247.2913386821747,0.0,0.0,0.35790756174216143,194560,760,0.4549421184549206,0.8795024671052631,40,1.0
102,2,0.1111315255576286,0.16543469682057088,1.0,0.6158305921052631,0.9187280426055955,0.5657808344615133,0.0889182076152218,0.26524979440789476,0.5927802161328481,0.15723483045830539,0.06092406504812013,0.1189196134868421,0,0.0,0,0.015456549498470083,0.18203042473055814,0.13697258018349345,0.034996989900736436,0.37990209065982766,0.010445546346569532,51607,0.6207103687484256,0.03682071863624611,1.0,0.7938926261462365,12515.0,1128.0,1080.0,67.69220316410065,3.658721685409546,0.0,0.0,0.0,0.0,0.0,1083.5999413132668,1087.2586629986763,0.0,0.0,15159.0,1231.0,1206.0,100.07367265224457,2.2122763991355896,0.0,0.0,0.0,0.0,0.0,2266.9374339580536,2269.149710357189,0.0,0.0,11140.0,602.0,587.0,50.40914207696915,1.0305309295654297,0.0,0.0,0.0,0.0,0.0,861.275050342083,862.3055812716484,0.0,0.0,11654.0,486.0,429.0,36.22195243835449,5.489529252052307,0.0,0.0,0.0,0.0,0.0,3574.6573252677917,3580.146854519844,0.0,0.0,11939.0,1172.0,1137.0,82.093570291996,2.5909241437911987,0.0,0.0,0.0,0.0,0.0,1677.87137901783,1680.462303161621,0.0,0.0,13406.0,345.0,322.0,19.818814039230347,2.3347169756889343,0.0,0.0,0.0,0.0,0.0,2043.905469417572,2046.240186393261,0.0,0.0,10906.0,1048.0,910.0,59.41661900281906,12.255786180496216,0.0,0.0,0.0,0.0,0.0,2199.2936351299286,2211.549421310425,0.0,0.0,11968.0,1490.0,1418.0,88.02809941768646,7.730690002441406,0.0,0.0,0.0,0.0,0.0,1100.363023519516,1108.0937135219574,0.0,0.0,10853.0,598.0,529.0,52.917257606983185,8.051322758197784,0.0,0.0,0.0,0.0,0.0,659.4201990365982,667.471521794796,0.0,0.0,10276.0,2558.0,2492.0,178.68843042850494,5.7891435623168945,0.0,0.0,0.0,0.0,0.0,1781.459360420704,1787.2485039830208,0.0,0.0,0.3799020895048192,194560,760,0.43893296102944174,0.8481136924342105,40,1.0
103,2,0.11044130736517904,0.19216926233717083,1.0,0.6380345394736842,0.9152817965521828,0.5839813995518183,0.07659512819771312,0.2535875822368421,0.5789192420274902,0.14680673089613647,0.05738352769127998,0.10837787828947368,0,0.0,0,0.013258647044973546,0.17818834916933587,0.12652275517926012,0.03529507694667892,0.3626405742907235,0.00937574595047504,49338,0.6197048927804126,0.0366722106394407,1.0,0.8146601955249186,13397.0,1464.0,1430.0,96.76650363206863,2.505640387535095,0.0,0.0,0.0,0.0,0.0,680.2942582368851,682.7998986244202,0.0,0.0,19322.0,2801.0,2539.0,203.42450749874115,16.985885083675385,0.0,0.0,0.0,0.0,0.0,2201.562592983246,2218.5484780669212,0.0,0.0,11516.0,426.0,412.0,34.926084101200104,1.379658818244934,0.0,0.0,0.0,0.0,0.0,1414.5453347563744,1415.9249935746193,0.0,0.0,12007.0,672.0,631.0,52.53040677309036,3.38767272233963,0.0,0.0,0.0,0.0,0.0,2922.853078722954,2926.2407514452934,0.0,0.0,14407.0,1567.0,1503.0,109.43111217021942,5.3237321972846985,0.0,0.0,0.0,0.0,0.0,2283.625453174114,2288.949185371399,0.0,0.0,9763.0,640.0,618.0,53.304406583309174,1.772751271724701,0.0,0.0,0.0,0.0,0.0,1042.5368017554283,1044.309553027153,0.0,0.0,9690.0,1537.0,1387.0,88.6366958618164,13.209011733531952,0.0,0.0,0.0,0.0,0.0,1106.8661788105965,1120.0751905441284,0.0,0.0,8654.0,541.0,504.0,45.05517387390137,4.583630681037903,0.0,0.0,0.0,0.0,0.0,925.7342418432236,930.3178725242615,0.0,0.0,13354.0,1213.0,1201.0,125.72456973791122,1.3447893261909485,0.0,0.0,0.0,0.0,0.0,464.4649882912636,465.80977761745453,0.0,0.0,12026.0,652.0,633.0,50.09606093168259,1.8059554696083069,0.0,0.0,0.0,0.0,0.0,1807.5664936900139,1809.3724491596222,0.0,0.0,0.3626405751038539,194560,760,0.46300790117759455,0.8801449424342105,40,1.0
104,2,0.10974720263398964,0.2204035482646266,1.0,0.6107524671052632,0.9146233485878009,0.5586084666220765,0.07657082584613052,0.27217824835526316,0.583067860809087,0.15869838902726768,0.0632007984444499,0.11706928453947368,0,0.0,0,0.016075898718554527,0.18081187289208173,0.1284998779969388,0.039223288107467336,0.37432522862034506,0.009714290905302684,52955,0.6346709470304976,0.03689406586712912,1.0,0.8345653031794289,11113.0,607.0,569.0,40.22804445028305,1.998422622680664,0.0,0.0,0.0,0.0,0.0,1001.8908817768097,1003.8893043994904,0.0,0.0,17421.0,2996.0,2899.0,200.54602599143982,9.958681762218475,0.0,0.0,0.0,0.0,0.0,901.1707889437675,911.129470705986,0.0,0.0,10634.0,472.0,453.0,36.076199412345886,1.7504135370254517,0.0,0.0,0.0,0.0,0.0,786.3359512686729,788.0863648056984,0.0,0.0,13567.0,488.0,408.0,33.03953766822815,6.725198864936829,0.0,0.0,0.0,0.0,0.0,4408.019476532936,4414.744675397873,0.0,0.0,11133.0,1715.0,1542.0,125.3758915066719,18.642265498638153,0.0,0.0,0.0,0.0,0.0,1820.215773999691,1838.8580394983292,0.0,0.0,13388.0,597.0,544.0,53.17786741256714,6.2676175236701965,0.0,0.0,0.0,0.0,0.0,2366.2570454478264,2372.5246629714966,0.0,0.0,7479.0,779.0,669.0,41.792029321193695,10.044787764549255,0.0,0.0,0.0,0.0,0.0,1330.472621023655,1340.5174087882042,0.0,0.0,14561.0,817.0,793.0,57.002642810344696,2.2270318269729614,0.0,0.0,0.0,0.0,0.0,1324.4869879484177,1326.7140197753906,0.0,0.0,9545.0,841.0,834.0,92.09697115421295,0.7700704336166382,0.0,0.0,0.0,0.0,0.0,214.33135050535202,215.10142093896866,0.0,0.0,9987.0,1686.0,1643.0,104.51804548501968,5.479175269603729,0.0,0.0,0.0,0.0,0.0,680.5753107070923,686.054485976696,0.0,0.0,0.37432522858051875,194560,760,0.4490034448865213,0.8650236430921052,40,1.0
105,2,0.10904928748046602,0.24999999999999997,1.0,0.6126130756578947,0.9195723395287986,0.5633420392086631,0.08953871495261985,0.2704152960526316,0.6060250075717376,0.1638784318378097,0.06260683597065508,0.11697162828947369,0,0.0,0,0.017036071185047102,0.17788286733588105,0.12990315268796526,0.03432172605277676,0.3694529328929064,0.010309115631236253,52612,0.6676993841709116,0.036731836905604914,1.0,0.8535533905932737,11673.0,1318.0,1215.0,62.63606369495392,7.300070345401764,0.0,0.0,0.0,0.0,0.0,1243.9610429406166,1251.2611132860184,0.0,0.0,12051.0,1296.0,1180.0,133.10666769742966,13.795168101787567,0.0,0.0,0.0,0.0,0.0,696.4211847186089,710.2163528203964,0.0,0.0,11552.0,510.0,501.0,49.950347900390625,1.0106715559959412,0.0,0.0,0.0,0.0,0.0,1245.3834194540977,1246.3940910100937,0.0,0.0,8385.0,605.0,513.0,42.26372021436691,9.50961059331894,0.0,0.0,0.0,0.0,0.0,1993.4207040667534,2002.9303146600723,0.0,0.0,10293.0,666.0,649.0,41.1051487326622,0.7709224224090576,0.0,0.0,0.0,0.0,0.0,2414.069437146187,2414.840359568596,0.0,0.0,10988.0,757.0,558.0,38.02081859111786,20.434664487838745,0.0,0.0,0.0,0.0,0.0,3153.502248287201,3173.9369127750397,0.0,0.0,12025.0,679.0,630.0,38.85407191514969,3.981793165206909,0.0,0.0,0.0,0.0,0.0,3163.913197040558,3167.8949902057648,0.0,0.0,11810.0,1116.0,1060.0,53.622950971126556,3.740574836730957,0.0,0.0,0.0,0.0,0.0,671.1933462619781,674.9339210987091,0.0,0.0,14865.0,886.0,868.0,81.47418701648712,1.3012042045593262,0.0,0.0,0.0,0.0,0.0,786.8528737425804,788.1540779471397,0.0,0.0,15548.0,1907.0,1892.0,122.35404807329178,1.1717514991760254,0.0,0.0,0.0,0.0,0.0,1988.9185091257095,1990.0902606248856,0.0,0.0,0.3694529341631814,194560,760,0.4177104005884183,0.8081208881578947,40,1.0
106,2,0.10834763843886955,0.28081442660546135,1.0,0.6301243832236842,0.9259473126894346,0.5834619793060579,0.0746183921212306,0.2576942845394737,0.583890679946036,0.15046529101796055,0.05933337311480979,0.11218133223684211,0,0.0,0,0.014253355758218707,0.18083616344160156,0.12869013201837476,0.033405996819860055,0.3674989161122204,0.010313268074165343,50137,0.6135389034046712,0.03666147992603089,1.0,0.8715724127386972,6649.0,1128.0,1007.0,51.56423783302307,9.562570989131927,0.0,0.0,0.0,0.0,0.0,727.9890646338463,737.5516356229782,0.0,0.0,15794.0,798.0,792.0,61.82519507408142,0.6788522601127625,0.0,0.0,0.0,0.0,0.0,276.75324296951294,277.4320952296257,0.0,0.0,14911.0,431.0,401.0,31.206115543842316,2.953266739845276,0.0,0.0,0.0,0.0,0.0,2259.398181438446,2262.3514481782913,0.0,0.0,8405.0,459.0,414.0,46.637834906578064,6.0023146867752075,0.0,0.0,0.0,0.0,0.0,2200.6030926704407,2206.605407357216,0.0,0.0,15264.0,1397.0,1350.0,112.87993913888931,4.3368043303489685,0.0,0.0,0.0,0.0,0.0,2297.0514996647835,2301.3883039951324,0.0,0.0,14395.0,509.0,479.0,32.378080904483795,2.1401619911193848,0.0,0.0,0.0,0.0,0.0,2458.29897493124,2460.4391369223595,0.0,0.0,8449.0,1176.0,964.0,87.03396636247635,20.64921933412552,0.0,0.0,0.0,0.0,0.0,1361.6728016734123,1382.3220210075378,0.0,0.0,14310.0,1140.0,1112.0,69.38250249624252,2.727049708366394,0.0,0.0,0.0,0.0,0.0,540.520047724247,543.2470974326134,0.0,0.0,10927.0,982.0,927.0,81.88492673635483,5.287463009357452,0.0,0.0,0.0,0.0,0.0,590.5182711482048,595.8057341575623,0.0,0.0,13493.0,2799.0,2731.0,191.64248675107956,5.931976318359375,0.0,0.0,0.0,0.0,0.0,1744.6795113682747,1750.611487686634,0.0,0.0,0.36749891556407277,194560,760,0.4405519482140478,0.8365696957236842,40,1.0
