round,client,epoch,cls,support_n,query_n,votes,trust,radius,margin_floor,distance_scale,margin_scale
43,4,3,4,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,4,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,4,3,6,28.0,27.0,28.0,0.8228742480278015,0.23900893330574036,0.12642577290534973,0.05360320582985878,0.07314035296440125
43,4,3,7,15.0,14.0,14.0,0.7846829891204834,0.19889511168003082,0.07847301661968231,0.05000000074505806,0.06649529933929443
43,4,3,8,33.0,32.0,32.0,0.8928172588348389,0.22142447531223297,0.11235866695642471,0.05119365453720093,0.05823157727718353
43,4,3,9,13.0,13.0,13.0,0.7718981504440308,0.11261223256587982,0.16026398539543152,0.05000000074505806,0.05000000074505806
43,4,4,0,14.0,14.0,14.0,0.7846829891204834,0.2780701816082001,0.1136714294552803,0.073049396276474,0.059359192848205566
43,4,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,4,4,2,22.0,22.0,22.0,0.8513404726982117,0.27110639214515686,0.09538664668798447,0.06644874066114426,0.06289281696081161
43,4,4,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,4,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,4,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,4,4,6,28.0,27.0,27.0,0.8754409551620483,0.22655895352363586,0.11936866492033005,0.060222379863262177,0.07787720113992691
43,4,4,7,15.0,14.0,14.0,0.7846829891204834,0.19383683800697327,0.12166779488325119,0.05000000074505806,0.057302527129650116
43,4,4,8,33.0,32.0,32.0,0.8928172588348389,0.20364397764205933,0.13233080506324768,0.05000000074505806,0.06172279641032219
43,4,4,9,13.0,13.0,13.0,0.7718981504440308,0.14308024942874908,0.1548224687576294,0.05000000074505806,0.06012801453471184
43,4,5,0,14.0,14.0,14.0,0.7846829891204834,0.2828994393348694,0.1117497980594635,0.07970034331083298,0.05735126510262489
43,4,5,1,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,4,5,2,22.0,22.0,21.0,0.8453561663627625,0.274383008480072,0.10340484231710434,0.07905873656272888,0.09260402619838715
43,4,5,3,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,4,5,4,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,4,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,4,5,6,28.0,27.0,28.0,0.8228742480278015,0.2330591231584549,0.130009263753891,0.056757278740406036,0.07303719222545624
43,4,5,7,15.0,14.0,14.0,0.7846829891204834,0.1665811389684677,0.14272548258304596,0.05000000074505806,0.05613846704363823
43,4,5,8,33.0,32.0,32.0,0.8928172588348389,0.18611690402030945,0.1269676238298416,0.053289953619241714,0.05000000074505806
43,4,5,9,13.0,13.0,13.0,0.7718981504440308,0.11448608338832855,0.1779780238866806,0.05000000074505806,0.06886028498411179
43,18,1,0,5.0,4.0,4.0,0.30063605308532715,0.34637266397476196,-0.05077234283089638,0.10390471667051315,0.11638475954532623
43,18,1,1,31.0,31.0,32.0,0.7578150033950806,0.17151588201522827,0.013427793979644775,0.060955710709095,0.05373908206820488
43,18,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,18,1,3,24.0,23.0,22.0,0.7820151448249817,0.2647901475429535,0.017912782728672028,0.07247344404459,0.08184972405433655
43,18,1,4,24.0,24.0,21.0,0.710854172706604,0.3020707666873932,-0.04904337227344513,0.06215076148509979,0.08019683510065079
43,18,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,18,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,18,1,7,20.0,20.0,23.0,0.6286194920539856,0.18611332774162292,0.012340801768004894,0.05000000074505806,0.06547043472528458
43,18,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,18,1,9,22.0,21.0,21.0,0.710854172706604,0.18084019422531128,0.01316910982131958,0.058366090059280396,0.05000000074505806
43,18,2,0,5.0,4.0,4.0,0.5101000070571899,0.3396989703178406,0.164923295378685,0.09998257458209991,0.05000000074505806
43,18,2,1,31.0,31.0,30.0,0.8864828944206238,0.18455272912979126,0.05692100524902344,0.06865978986024857,0.08435732126235962
43,18,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,18,2,3,24.0,23.0,25.0,0.7503347992897034,0.20130036771297455,0.061646461486816406,0.07570886611938477,0.05900850147008896
43,18,2,4,24.0,24.0,22.0,0.8513404726982117,0.25890401005744934,0.006593911908566952,0.06745859980583191,0.07114074379205704
43,18,2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,18,2,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,18,2,7,20.0,20.0,21.0,0.7733018398284912,0.16164427995681763,0.11282385885715485,0.05000000074505806,0.05597827583551407
43,18,2,8,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,18,2,9,22.0,21.0,21.0,0.8453561663627625,0.1426284909248352,0.09073656797409058,0.05000000074505806,0.06876266747713089
43,18,3,0,5.0,4.0,4.0,0.5101000070571899,0.31960585713386536,0.12928372621536255,0.09222080558538437,0.051154181361198425
43,18,3,1,31.0,31.0,31.0,0.8897410035133362,0.16656726598739624,0.0775795578956604,0.05406787246465683,0.0618131197988987
43,18,3,2,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,18,3,3,24.0,23.0,22.0,0.8513404726982117,0.17410357296466827,0.08559610694646835,0.07950813323259354,0.05000000074505806
43,18,3,4,24.0,24.0,25.0,0.8045552372932434,0.30052968859672546,0.0444779098033905,0.07303497940301895,0.0595119372010231
43,18,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
43,18,3,6,0.0,0.0,0.0,0.0,1.0,0.0,0.05000000074505806,0.05000000074505806
