round,client,epoch,cls,query_count,query_correct,own_distance_sum,margin_sum
31,17,1,2,23,20,4.829766750335693,1.4227981567382812
31,17,1,4,26,22,4.806827545166016,1.5118954181671143
31,17,1,7,21,17,2.8651089668273926,1.8469620943069458
31,17,1,8,22,22,2.99099063873291,4.907771587371826
31,17,1,9,29,29,2.551083564758301,6.947774887084961
31,17,2,2,23,23,4.8900146484375,3.2524023056030273
31,17,2,4,26,23,5.14154577255249,2.7106642723083496
31,17,2,7,21,20,2.392677068710327,3.282670021057129
31,17,2,8,22,22,2.849454879760742,5.424905776977539
31,17,2,9,29,29,2.629995107650757,7.511578559875488
31,17,3,2,23,23,4.711772918701172,3.4283013343811035
31,17,3,4,26,25,4.822659492492676,4.0012311935424805
31,17,3,7,21,21,2.3993680477142334,4.279526710510254
31,17,3,8,22,22,2.8115594387054443,5.608227729797363
31,17,3,9,29,29,2.9939985275268555,8.171573638916016
31,17,4,2,23,23,4.279322624206543,3.6666183471679688
31,17,4,4,26,25,4.311275482177734,3.7572672367095947
31,17,4,7,21,20,2.315617561340332,4.264991760253906
31,17,4,8,22,22,3.4335408210754395,5.408651351928711
31,17,4,9,29,29,2.928715705871582,8.148893356323242
31,17,5,2,23,23,4.681976318359375,3.6646523475646973
31,17,5,4,26,25,4.7022600173950195,3.7792482376098633
31,17,5,7,21,21,2.713691234588623,4.152498722076416
31,17,5,8,22,22,2.7970762252807617,5.124434471130371
31,17,5,9,29,29,2.6755406856536865,7.791004180908203
31,5,1,0,3,1,1.1850624084472656,-0.04558205604553223
31,5,1,1,22,18,3.1336965560913086,1.3471300601959229
31,5,1,3,28,23,5.397131443023682,1.7957626581192017
31,5,1,4,28,23,5.811694145202637,1.899343729019165
31,5,1,5,20,15,3.5085439682006836,0.6179078221321106
31,5,1,7,8,8,1.1643606424331665,0.7719396948814392
31,5,1,9,13,12,1.150894045829773,0.8450323343276978
31,5,2,0,3,3,0.9124860167503357,0.32340866327285767
31,5,2,1,22,22,2.4764881134033203,5.176453590393066
31,5,2,3,28,26,5.564250946044922,4.282204627990723
