loss,L_sup,L_A,L_B,L_proto,n_batches,cnt_u,cnt_a,cnt_b,cnt_c,hce_all,hce_hc,hce_den_hc,a_correct,a_total,b_correct,b_total,lr,gate,aux_scale,tau0,delta0,eta_B,tau_warmup,a_ratio_cap,b_ratio_cap,use_a_for_proto,lambda_A_scale,lambda_B_scale,r_mean,m_mean,alpha_t,round,acc,phase
1.0549720682595907,1.0549720682595907,0.0,0.0,2.0714960862147183,95.0,24320.0,0.0,0.0,24320.0,21606.875,0.0,0.0,0.0,0.0,0.0,0.0,0.09999725846827562,0.0,0.0,0.92,0.12,0.7000000000000001,0.9500000000000001,0.3,0.35000000000000003,0.0,1.0,1.0,0.13648814309976603,0.0,1.0105263157894735,1,0.1032,1
0.8711558144343527,0.8711558144343527,0.0,0.0,2.2067814478748726,95.0,24320.0,0.0,0.0,24320.0,21641.25,0.0,42.75,0.0,0.0,0.0,0.0,0.09998903417374227,0.0,0.0,0.92,0.12,0.7000000000000001,0.9580000000000001,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8450574638027895,0.0,1.0105263157894735,2,0.2564,1
0.6854807313727705,0.6747713002621343,0.042837720415626994,0.0,2.2094842531179126,95.0,24320.0,110.25,0.0,24209.75,18925.0,50.5,181.25,59.75,110.25,0.0,0.0,0.09997532801828658,0.0,0.0,0.92,0.12,0.7000000000000001,0.9660000000000001,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.4667191606995307,0.0,1.0105263157894735,3,0.3219,1
0.5414756608685772,0.5260812193743493,0.061577770228342585,0.0,2.052001795956963,95.0,24320.0,274.5,0.0,24045.5,17633.0,113.875,580.0,160.625,274.5,0.0,0.0,0.09995614150494292,0.0,0.0,0.92,0.12,0.7000000000000001,0.9740000000000001,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.5994836836269027,0.0,1.0105263157894735,4,0.3562,1
0.6324161687571752,0.5418395937812562,0.3623062945608245,0.0,2.212559609350405,95.0,24320.0,4375.375,0.0,19944.625,15605.75,1931.5,6071.75,2443.875,4375.375,0.0,0.0,0.0999314767377287,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.7404006064722412,0.0,1.0105263157894735,5,0.3755,1
0.3563195782566541,0.32931220715399834,0.1080294842591582,0.0,2.145220464781711,95.0,24320.0,836.625,0.0,23483.375,14457.375,303.5,1901.375,533.125,836.625,0.0,0.0,0.09990133642141358,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.6219217386684919,0.0,1.0105263157894735,6,0.4449,1
0.4110032750759274,0.33456632413803356,0.30574780400401275,0.0,2.1964937722996662,95.0,24320.0,3607.875,0.0,20712.125,12633.375,514.375,5453.5,3093.5,3607.875,0.0,0.0,0.09986572386122292,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.7186819280448712,0.0,1.0105263157894735,7,0.4475,1
0.4000035236834696,0.27314925605896867,0.12685426739779743,0.0,2.1238180720492412,95.0,24320.0,3557.0,0.0,20763.0,13079.0,811.875,5417.875,2745.125,3557.0,0.0,0.0,0.09982464296247523,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,1.0,1.0,0.7271116596303487,0.0,1.0105263157894735,8,0.4494,1
0.2965060480208577,0.2272904682757431,0.13843116147112786,0.0,2.1306901334147703,95.0,24320.0,3169.875,0.0,21150.125,13975.5,879.5,4836.75,2290.375,3169.875,0.0,0.0,0.09977809823015402,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.5,1.0,0.7058186843207009,0.0,1.0105263157894735,9,0.4024,1
0.21367069900427993,0.16848321969829205,0.18074991515053335,0.0,2.014292316374026,95.0,24320.0,4357.25,0.0,19962.75,14905.25,1607.25,6209.5,2750.0,4357.25,0.0,0.0,0.09972609476841367,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.7400154472965944,0.0,1.0105263157894735,10,0.4407,1
0.26722549343432644,0.1955309061557177,0.28677834863529394,0.0,2.05408980266044,95.0,24320.0,6255.25,0.0,18064.75,12771.375,1613.0,8524.375,4642.25,6255.25,0.0,0.0,0.09966863828001982,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.7950396095451556,0.0,1.0105263157894735,11,0.4589,1
0.16310685478935116,0.13245761779651635,0.12259694524599533,0.0,2.103810801317817,95.0,24320.0,3554.5,0.0,20765.5,11923.25,491.25,5412.75,3063.25,3554.5,0.0,0.0,0.0996057350657239,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.7233708749476231,0.0,1.0105263157894735,12,0.4367,1
0.26234220147721077,0.1403496172714145,0.12199258385471215,0.0,2.0074025486644946,95.0,24320.0,6553.0,0.0,17767.0,12879.0,1616.25,8635.75,4936.75,6553.0,0.0,0.0,0.09953739202357217,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,1.0,1.0,0.7877799284301306,0.0,1.0105263157894735,13,0.4257,1
0.1999818650368405,0.1350062407231522,0.12995124974925268,0.0,1.9841373107935252,95.0,24320.0,6501.25,0.0,17818.75,13179.5,1625.25,8584.5,4876.0,6501.25,0.0,0.0,0.09946361664814941,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.5,1.0,0.7869414212672333,0.0,1.0105263157894735,14,0.4151,1
0.17184075623946754,0.11225080961563724,0.11917989331444627,0.0,2.005661400682048,95.0,24320.0,7891.5,0.0,16428.5,12427.5,1901.25,10135.875,5990.25,7891.5,0.0,0.0,0.09938441702975688,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.5,1.0,0.8104853756333652,0.0,1.0105263157894735,15,0.3843,1
0.21093120749941782,0.13907792582299167,0.1437065643062325,0.0,2.0251550489350367,95.0,24320.0,9013.25,0.0,15306.75,14347.125,3019.125,11958.875,5994.125,9013.25,0.0,0.0,0.09929980185352526,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.5,1.0,0.843625939127646,0.0,1.0105263157894735,16,0.3618,1
0.17039148855072103,0.1341724087643486,0.14487631869943518,0.0,2.0041961727957975,95.0,24320.0,7394.875,0.0,16925.125,16723.0,3601.5,9660.875,3793.375,7394.875,0.0,0.0,0.09920978039846208,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8088350197986552,0.0,1.0105263157894735,17,0.3489,1
0.17894141442926698,0.14123692458869253,0.1508179588071806,0.0,1.934350894156255,95.0,24320.0,9138.375,0.0,15181.625,14031.125,3218.75,11714.625,5919.625,9138.375,0.0,0.0,0.09911436253643445,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8334703162312507,0.0,1.0105263157894735,18,0.3573,1
0.12678776238187164,0.09631427336165582,0.12189395532600192,0.0,1.9407662619101373,95.0,24320.0,7494.875,0.0,16825.125,14629.125,2436.25,9875.5,5058.625,7494.875,0.0,0.0,0.0990135587310861,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.819263867563323,0.0,1.0105263157894735,19,0.364,1
0.1487539683676962,0.11331843094284476,0.1417421496473253,0.0,1.9716145058995802,95.0,24320.0,8367.0,0.0,15953.0,15536.25,3423.0,10648.125,4944.0,8367.0,0.0,0.0,0.09890738003669029,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8249532008641645,0.0,1.0105263157894735,20,0.3576,1
0.12896537714466255,0.0999339823231199,0.1161255802628339,0.0,1.8918587849328392,95.0,24320.0,7808.125,0.0,16511.875,15623.375,3310.25,10192.875,4497.875,7808.125,0.0,0.0,0.09879583809693737,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.813418182809102,0.0,1.0105263157894735,21,0.3396,1
0.11854835911163766,0.09124107669616167,0.10922913000379739,0.0,1.9195293545722962,95.0,24320.0,8341.0,0.0,15979.0,16426.0,3718.75,10848.125,4622.25,8341.0,0.0,0.0,0.09867894514365803,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8333575011868226,0.0,1.0105263157894735,22,0.3536,1
0.1162291983840987,0.08919037982122972,0.1081552742098115,0.0,1.9290373345738963,95.0,24320.0,8578.5,0.0,15741.5,15043.0,3199.125,10983.125,5379.375,8578.5,0.0,0.0,0.09855671399548181,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8266028280320921,0.0,1.0105263157894735,23,0.3315,1
0.08575870408186395,0.06038948278950748,0.10147688552541168,0.0,1.8736286188426772,95.0,24320.0,8390.75,0.0,15929.25,14387.875,2570.0,10668.5,5820.75,8390.75,0.0,0.0,0.09842915805643157,0.0,0.0,0.92,0.12,0.7000000000000001,0.9800000000000002,0.39999999999999997,0.35000000000000003,0.0,0.25,1.0,0.8180586399216402,0.0,1.0105263157894735,24,0.3536,1
