,acc
1,0.1032
2,0.2564
3,0.3219
4,0.3562
5,0.3755
6,0.4449
7,0.4475
8,0.4494
9,0.4024
10,0.4407
11,0.4589
12,0.4367
13,0.4257
14,0.4151
15,0.3843
16,0.3618
17,0.3489
18,0.3573
19,0.364
20,0.3576
21,0.3396
22,0.3536
23,0.3315
24,0.3536
25,0.368
26,0.3538
27,0.3507
28,0.3565
29,0.3216
30,0.3657
31,0.3068
32,0.3517
33,0.3273
34,0.3393
35,0.3105
36,0.346
37,0.3593
