round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,L_feature_effective,teacher_b_visits,teacher_b_precision,bc_feature_std,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
143,3,0.08049286478457238,1.0,1.0,0.6509097450657895,0.9078578356321608,0.5909335123473092,0.09870204721197584,0.24485505756578949,0.5808037860149445,0.14221274445911772,0.05436703086904201,0.10423519736842106,0,0.0,0,0.009648709037336582,0.17046609317981884,0.11744852367249367,0.02615259785401194,0.3339794116611914,0.010263487917530399,47639,0.6726001805243603,0.036133748395858624,0.3339794114428131,194560,760,0.4258232111993589,0.8072368421052631,40,1.0
144,3,0.07970928896469849,1.0,1.0,0.64658203125,0.9066566665177941,0.5862279090834291,0.08296618439551247,0.2544973273026316,0.5869312564688453,0.1493724360816965,0.05286893034598937,0.09892064144736842,0,0.0,0,0.012036199692374794,0.17293154899226992,0.11429141744187003,0.028293494188079714,0.33791023088864963,0.01035757057405518,49515,0.669494092699182,0.03644572808652332,0.33791023088913213,194560,760,0.4176439222340521,0.8048930921052632,40,1.0
145,3,0.07892519671822079,1.0,1.0,0.65859375,0.9095304726348609,0.5990110847118654,0.07125501216566925,0.24086143092105264,0.5712378506298016,0.13758916609896052,0.04879892061243912,0.10054481907894737,0,0.0,0,0.010130328543547014,0.16431904165564398,0.10798875525667283,0.026784614181440132,0.3178478400980499,0.008625100460745957,46862,0.6769450727668473,0.035949677130893656,0.31784783833121,194560,760,0.4343449493968173,0.8259971217105263,40,1.0
146,3,0.07814067402969,1.0,1.0,0.6578176398026315,0.908605054689999,0.597696432588916,0.08763101949895682,0.24318976151315788,0.5735920820102169,0.13949172162990037,0.054425354175710754,0.09899259868421052,0,0.0,0,0.013174226363289084,0.1689870770530481,0.1168496589740052,0.028572395406663415,0.3379010037989371,0.01031764600193128,47315,0.642882806720913,0.03636928714909836,0.33790100334506284,194560,760,0.4269414266081233,0.8178094161184211,40,1.0
147,3,0.0773558069308596,1.0,1.0,0.6385022615131579,0.8943238230456401,0.5710277835397344,0.07899433115288909,0.2539525082236842,0.5663727286344076,0.14383177502619984,0.053850405946324925,0.10754523026315789,0,0.0,0,0.011338543365472058,0.16478955627075936,0.11000578097852046,0.029022495689752858,0.3250084196872424,0.009852043382737688,49409,0.6712137464834342,0.036103976292437626,0.32500841882275905,194560,760,0.4404682372941783,0.853186677631579,40,1.0
148,3,0.07657068149125179,1.0,1.0,0.66591796875,0.9035017144999207,0.6016580264819296,0.06382593431963439,0.2353515625,0.5666073341561239,0.13335192141760338,0.04655238386415141,0.09873046875,0,0.0,0,0.00774342002156405,0.1612695395260265,0.09558592067884379,0.02685508436082226,0.30092748160601906,0.009473517018762466,45790,0.6983184101332168,0.03640038279424372,0.30092748223166715,194560,760,0.429906977438613,0.8203484786184211,40,1.0
149,3,0.07578538380871845,1.0,1.0,0.6558439555921053,0.9065364506075357,0.5945464516548734,0.06378076371283417,0.23809621710526316,0.568451265156058,0.13534609584235832,0.04771375463644386,0.10605982730263158,0,0.0,0,0.00845435748116487,0.16656303530264843,0.10990963618173019,0.0245755493425225,0.319886939133905,0.01038436082583901,46324,0.6477635782747604,0.03605101229132791,0.31988693871780444,194560,760,0.4321293986941639,0.8110814144736842,40,1.0
150,3,0.075,1.0,1.0,0.6842002467105263,0.9101377074041717,0.6227164439464871,0.05837752077556951,0.21975740131578947,0.5619327870328897,0.12348888899248682,0.043550868944485524,0.09604235197368421,0,0.0,0,0.007200920594761173,0.16101925822072907,0.09870867241100457,0.0259182389688335,0.30257959474063495,0.009732504545306591,42756,0.6528206567499298,0.03649515069432949,0.30257959458976985,194560,760,0.44512188642432815,0.8526007401315789,40,1.0
151,3,0.07421461619128154,1.0,1.0,0.6540296052631579,0.9128466305396369,0.5970287214376424,0.07109159730485101,0.2394736842105263,0.5738048532793483,0.13741116223268604,0.04880084627136392,0.10649671052631579,0,0.0,0,0.009203951067013948,0.16978062581467002,0.10942236938954968,0.02685615836593666,0.3244455892782074,0.009182484641037023,46592,0.6831859546703297,0.03595506959153633,0.32444559043567434,194560,760,0.43485003674500866,0.8206979851973685,40,1.0
152,3,0.07342931850874826,1.0,1.0,0.6947985197368421,0.9091088756793243,0.6316475011016193,0.05194027539477439,0.20953947368421053,0.5471318466135621,0.11464571917527601,0.04209575962066944,0.09566200657894737,0,0.0,0,0.007623114475925257,0.16006499845534564,0.10145444579569525,0.025991970426157907,0.30365296975746264,0.00851844060433857,40768,0.592032967032967,0.03588316287159136,0.3036529685713743,194560,760,0.46833630690449163,0.8812191611842105,40,1.0
153,3,0.07264419306914036,1.0,1.0,0.6628752055921052,0.908859250267631,0.6024602623754426,0.05569161009809345,0.2284642269736842,0.5529483039413984,0.12632890681638137,0.046064254390014533,0.10866056743421053,0,0.0,0,0.008123256030759014,0.1662852831773068,0.11202063267977026,0.026032889287330607,0.3221548263030893,0.009692765127922604,44450,0.5924409448818898,0.035883722978791124,0.3221548261905187,194560,760,0.4695237372658755,0.8933902138157894,40,1.0
154,3,0.07185932597031004,1.0,1.0,0.6782020970394737,0.9023425354350363,0.6119705997799573,0.06721314982707172,0.22441920230263157,0.5552643196872689,0.12461197569133027,0.04527087550928914,0.09737870065789474,0,0.0,0,0.008328320664287802,0.15963332301103755,0.10165403386528947,0.025595278969328658,0.3039304208062899,0.008719464296346383,43663,0.6601012298742642,0.03622875431748597,0.3039304200167719,194560,760,0.45573051820852256,0.8547954358552632,40,1.0
155,3,0.07107480328177922,1.0,1.0,0.6810341282894737,0.9033057843943733,0.6151820674538613,0.07767809308532282,0.22639802631578948,0.5698716815627362,0.12901782395906355,0.046443680159159395,0.09256784539473684,0,0.0,0,0.009187886401885312,0.15671098283246943,0.10477708800646819,0.024552390971466116,0.30457687306721803,0.00934852485492899,44048,0.677147657101344,0.03614599037621366,0.3045768726224962,194560,760,0.4256245259391634,0.8007863898026316,40,1.0
