round,phase,geom_cov,band_n,sup_n,sup_acc,opp_n,opp_acc,c_lowconf,c_wouldB,c_wouldB_geommiss,c_wouldB_conflict,c_wouldB_other,conflictC_n,conflictC_frac,conflictC_clf_acc,conflictC_proto_acc,tau_n,tau_clipped_n,tau_clipped_frac,tau_raw_ge1_n,tau_effective_ge1_n
23,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
24,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
25,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
26,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
27,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
28,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
29,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
30,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
31,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
32,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
33,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
34,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
35,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
36,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
37,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
38,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
39,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
40,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
41,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
42,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
43,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
44,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
45,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
46,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
47,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
48,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
49,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
50,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
51,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
52,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
53,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
54,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
55,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
56,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
57,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
58,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
59,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
60,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
61,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
62,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
63,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
64,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
65,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
66,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
67,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
68,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
69,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
70,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
71,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
72,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
73,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
74,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
75,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
76,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
77,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
78,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
79,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
80,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
81,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
82,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
83,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
84,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
85,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
86,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
87,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
88,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
89,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
90,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0
91,2,0.916442,28579,9130,0.649069,17061,0.424477,19908,0,0,0,0,16239,0.083465,0.231295,0.290905,194560,0,0.0,0,0
92,2,0.892971,28254,8672,0.656365,16558,0.482607,18913,0,0,0,0,15119,0.077709,0.230042,0.286262,194560,0,0.0,0,0
93,2,0.897817,27079,8586,0.679129,15726,0.486328,17836,0,0,0,0,14202,0.072995,0.232995,0.290452,194560,0,0.0,0,0
94,2,0.891565,28063,7870,0.689708,17150,0.449738,19078,0,0,0,0,15344,0.078865,0.238269,0.306504,194560,0,0.0,0,0
95,2,0.898972,27824,8364,0.667982,16649,0.474323,18210,0,0,0,0,14658,0.075339,0.233524,0.286806,194560,0,0.0,0,0
96,2,0.873947,27774,8049,0.690272,16224,0.489214,17801,0,0,0,0,14060,0.072266,0.245235,0.301209,194560,0,0.0,0,0
97,2,0.905951,26901,8118,0.715201,16253,0.535901,16813,0,0,0,0,13817,0.071017,0.276182,0.329087,194560,0,0.0,0,0
98,2,0.901942,27494,7965,0.641557,16833,0.418345,17390,0,0,0,0,14121,0.072579,0.211033,0.274272,194560,0,0.0,0,0
99,2,0.904871,26522,7914,0.70091,16085,0.531116,18052,0,0,0,0,14280,0.073396,0.239496,0.270658,194560,0,0.0,0,0
100,2,0.88804,26840,7488,0.667201,16347,0.511654,17439,0,0,0,0,14158,0.072769,0.244526,0.291708,194560,0,0.0,0,0
101,2,0.907356,27039,7449,0.715264,17085,0.491776,17686,0,0,0,0,14628,0.075185,0.253623,0.343041,194560,0,0.0,0,0
102,2,0.879902,27694,8397,0.702632,15971,0.447686,19550,0,0,0,0,15607,0.080217,0.237329,0.319088,194560,0,0.0,0,0
103,2,0.925295,26839,8479,0.724732,16355,0.508652,16891,0,0,0,0,13967,0.071788,0.262977,0.319825,194560,0,0.0,0,0
104,2,0.908612,27170,7889,0.698694,16798,0.470711,18743,0,0,0,0,15508,0.079708,0.239554,0.290818,194560,0,0.0,0,0
105,2,0.890253,27199,7165,0.691556,17049,0.403484,19419,0,0,0,0,15825,0.081337,0.212512,0.299905,194560,0,0.0,0,0
106,2,0.886206,27295,7677,0.661326,16512,0.487464,18667,0,0,0,0,14898,0.076573,0.244462,0.280507,194560,0,0.0,0,0
107,2,0.902879,26781,7297,0.69001,16883,0.4854,18245,0,0,0,0,14853,0.076341,0.231468,0.287686,194560,0,0.0,0,0
108,2,0.874749,26858,7158,0.676306,16336,0.498531,17788,0,0,0,0,14237,0.073175,0.268455,0.320714,194560,0,0.0,0,0
109,2,0.890636,25246,6107,0.725725,16378,0.598608,15073,0,0,0,0,12094,0.062161,0.275922,0.323632,194560,0,0.0,0,0
110,2,0.833632,27902,6450,0.620155,16810,0.381083,18479,0,0,0,0,14029,0.072106,0.175422,0.219474,194560,0,0.0,0,0
111,2,0.903704,26969,7331,0.661983,17041,0.467285,18966,0,0,0,0,15517,0.079754,0.235355,0.28124,194560,0,0.0,0,0
112,2,0.82874,26813,5747,0.681921,16474,0.463943,16979,0,0,0,0,13549,0.069639,0.2195,0.273969,194560,0,0.0,0,0
113,2,0.897585,26207,6469,0.698562,17054,0.542629,16745,0,0,0,0,13703,0.070431,0.255491,0.289864,194560,0,0.0,0,0
114,2,0.862957,26612,6745,0.748703,16220,0.535327,17915,0,0,0,0,14194,0.072954,0.27251,0.314217,194560,0,0.0,0,0
115,2,0.896393,26311,6383,0.708444,17202,0.529648,18016,0,0,0,0,14672,0.075411,0.257293,0.299618,194560,0,0.0,0,0
116,2,0.88341,26932,7782,0.688255,16010,0.446471,18161,0,0,0,0,14797,0.076054,0.242617,0.311347,194560,0,0.0,0,0
117,2,0.886784,25385,6361,0.711838,16150,0.488854,16132,0,0,0,0,13132,0.067496,0.246954,0.289598,194560,0,0.0,0,0
118,2,0.891382,27233,7144,0.62542,17131,0.429806,18489,0,0,0,0,14800,0.076069,0.225068,0.258514,194560,0,0.0,0,0
119,2,0.875384,26016,5981,0.709246,16793,0.483594,17116,0,0,0,0,13840,0.071135,0.247543,0.327384,194560,0,0.0,0,0
120,2,0.871175,27580,6578,0.649133,17449,0.412058,19262,0,0,0,0,15601,0.080186,0.216845,0.27979,194560,0,0.0,0,0
121,2,0.840329,26586,5829,0.731515,16512,0.50103,16857,0,0,0,0,13561,0.069701,0.25212,0.303075,194560,0,0.0,0,0
122,2,0.846636,27099,7225,0.699931,15718,0.439751,20184,0,0,0,0,15963,0.082047,0.219633,0.259663,194560,0,0.0,0,0
123,2,0.850649,25805,6098,0.753034,15853,0.533527,16481,0,0,0,0,13137,0.067522,0.264368,0.30966,194560,0,0.0,0,0
124,2,0.874431,26790,6616,0.658253,16810,0.404402,21085,0,0,0,0,16809,0.086395,0.217562,0.284966,194560,0,0.0,0,0
125,2,0.867747,26094,6906,0.74457,15737,0.517634,17959,0,0,0,0,14330,0.073653,0.267969,0.317167,194560,0,0.0,0,0
126,2,0.861594,27058,6591,0.728721,16722,0.486485,20457,0,0,0,0,16435,0.084473,0.247521,0.30721,194560,0,0.0,0,0
127,2,0.814005,27447,6398,0.727415,15944,0.485575,18100,0,0,0,0,13868,0.071279,0.24077,0.312374,194560,0,0.0,0,0
128,2,0.788159,27818,5931,0.729894,15994,0.423784,19242,0,0,0,0,14424,0.074137,0.229687,0.301719,194560,0,0.0,0,0
129,2,0.831985,26206,6318,0.68202,15485,0.483371,17782,0,0,0,0,13958,0.071741,0.240221,0.270096,194560,0,0.0,0,0
130,2,0.864593,25944,6300,0.727302,16131,0.456078,18422,0,0,0,0,15196,0.078104,0.235325,0.296131,194560,0,0.0,0,0
131,2,0.853863,26701,6022,0.683162,16777,0.419443,17636,0,0,0,0,13803,0.070945,0.224372,0.293125,194560,0,0.0,0,0
132,2,0.796155,26525,5376,0.691034,15742,0.455342,19296,0,0,0,0,14561,0.074841,0.225397,0.276217,194560,0,0.0,0,0
133,2,0.815804,26385,5054,0.719628,16471,0.515998,17924,0,0,0,0,13829,0.071078,0.239424,0.292863,194560,0,0.0,0,0
134,2,0.80682,26276,5665,0.698853,15535,0.4701,18812,0,0,0,0,14370,0.073859,0.222129,0.276409,194560,0,0.0,0,0
135,2,0.83904,25845,4667,0.70495,17018,0.491421,17185,0,0,0,0,13602,0.069912,0.233054,0.263417,194560,0,0.0,0,0
136,3,0.853128,26152,5644,0.655741,16667,0.50255,17396,0,0,0,0,13890,0.071392,0.257379,0.291433,194560,0,0.0,0,0
137,3,0.830287,26916,6266,0.705713,16082,0.443415,20790,0,0,0,0,16466,0.084632,0.235455,0.280335,194560,0,0.0,0,0
138,3,0.864372,26580,5639,0.719808,17336,0.514998,17388,0,0,0,0,13986,0.071885,0.256685,0.31889,194560,0,0.0,0,0
139,3,0.865112,25814,5914,0.760399,16418,0.525825,18281,0,0,0,0,14825,0.076198,0.262327,0.324654,194560,0,0.0,0,0
140,3,0.836983,24936,4574,0.757543,16297,0.562926,15359,0,0,0,0,12247,0.062947,0.264555,0.289704,194560,0,0.0,0,0
141,3,0.808597,26055,4832,0.694536,16236,0.504003,19010,0,0,0,0,14450,0.07427,0.226713,0.272249,194560,0,0.0,0,0
142,3,0.86079,25228,5339,0.693388,16377,0.521036,16497,0,0,0,0,13156,0.067619,0.251976,0.295379,194560,0,0.0,0,0
143,3,0.807971,25819,5206,0.692662,15655,0.432386,16809,0,0,0,0,13268,0.068195,0.222566,0.287006,194560,0,0.0,0,0
144,3,0.810849,26878,5614,0.73192,16180,0.45445,17326,0,0,0,0,13493,0.069351,0.245683,0.302157,194560,0,0.0,0,0
145,3,0.832076,25327,5283,0.76396,15791,0.51903,16753,0,0,0,0,13239,0.068046,0.26014,0.32797,194560,0,0.0,0,0
146,3,0.819949,26548,4946,0.699353,16822,0.465997,16659,0,0,0,0,13017,0.066905,0.228778,0.289468,194560,0,0.0,0,0
147,3,0.863196,26505,5330,0.750469,17549,0.47923,18287,0,0,0,0,14871,0.076434,0.267433,0.348598,194560,0,0.0,0,0
148,3,0.841016,25902,4526,0.776182,17258,0.509039,17013,0,0,0,0,13692,0.070374,0.264096,0.314271,194560,0,0.0,0,0
149,3,0.818416,25630,4616,0.757366,16360,0.542604,17673,0,0,0,0,13752,0.070683,0.256035,0.288976,194560,0,0.0,0,0
150,3,0.834885,24922,4675,0.81262,16132,0.595586,16095,0,0,0,0,12962,0.066622,0.309212,0.356658,194560,0,0.0,0,0
151,3,0.826592,25737,5089,0.779131,16185,0.540809,17780,0,0,0,0,14100,0.072471,0.261915,0.304397,194560,0,0.0,0,0
152,3,0.875741,24111,4467,0.816655,16648,0.640197,15146,0,0,0,0,12354,0.063497,0.315849,0.369921,194560,0,0.0,0,0
153,3,0.902381,24616,5661,0.799505,16552,0.614729,17052,0,0,0,0,14424,0.074137,0.312951,0.370494,194560,0,0.0,0,0
154,3,0.895448,24562,4234,0.762163,17760,0.550282,16491,0,0,0,0,13650,0.070158,0.265788,0.308278,194560,0,0.0,0,0
155,3,0.800111,25319,4200,0.640238,16058,0.523291,16578,0,0,0,0,12600,0.064762,0.230159,0.275317,194560,0,0.0,0,0
156,3,0.761953,25663,3939,0.710079,15615,0.515146,16095,0,0,0,0,11874,0.06103,0.240441,0.286929,194560,0,0.0,0,0
157,3,0.784244,26377,5049,0.741929,15637,0.487945,17714,0,0,0,0,13407,0.068909,0.239203,0.31864,194560,0,0.0,0,0
158,3,0.85898,24578,4243,0.753948,16869,0.564764,16043,0,0,0,0,13283,0.068272,0.263269,0.322894,194560,0,0.0,0,0
159,3,0.849796,25472,5407,0.751618,16239,0.491841,17478,0,0,0,0,13716,0.070498,0.255687,0.305774,194560,0,0.0,0,0
160,3,0.847773,25035,5116,0.739445,16108,0.530606,16966,0,0,0,0,13669,0.070256,0.251445,0.311654,194560,0,0.0,0,0
161,3,0.820244,25262,4921,0.743345,15800,0.532595,16401,0,0,0,0,12702,0.065286,0.263659,0.299795,194560,0,0.0,0,0
162,3,0.861099,25277,5077,0.738034,16689,0.456648,16140,0,0,0,0,13106,0.067362,0.254616,0.334122,194560,0,0.0,0,0
163,3,0.796214,26469,5107,0.740552,15968,0.489667,17601,0,0,0,0,13540,0.069593,0.25096,0.326219,194560,0,0.0,0,0
164,3,0.837131,24664,4171,0.735315,16476,0.539391,16192,0,0,0,0,12992,0.066776,0.245921,0.274477,194560,0,0.0,0,0
165,3,0.796405,25649,4694,0.780571,15733,0.544334,15892,0,0,0,0,12568,0.064597,0.285805,0.343412,194560,0,0.0,0,0
166,3,0.76941,25695,3965,0.757629,15805,0.558178,16585,0,0,0,0,12451,0.063996,0.265119,0.323669,194560,0,0.0,0,0
167,3,0.848034,25157,4249,0.76112,17085,0.602868,16869,0,0,0,0,13453,0.069146,0.294061,0.344607,194560,0,0.0,0,0
168,3,0.81782,24602,3703,0.805563,16417,0.579887,16026,0,0,0,0,12709,0.065322,0.293886,0.34692,194560,0,0.0,0,0
169,3,0.845993,24343,4017,0.742345,16577,0.553116,15918,0,0,0,0,12960,0.066612,0.269059,0.326852,194560,0,0.0,0,0
170,3,0.78393,25427,4229,0.721684,15704,0.489366,16259,0,0,0,0,12702,0.065286,0.235947,0.289876,194560,0,0.0,0,0
171,3,0.881262,24533,4212,0.804606,17408,0.628562,15111,0,0,0,0,12588,0.0647,0.31816,0.390531,194560,0,0.0,0,0
172,3,0.806563,24349,3844,0.75078,15795,0.550047,15075,0,0,0,0,11503,0.059123,0.243415,0.303834,194560,0,0.0,0,0
173,3,0.813313,25283,3904,0.66291,16659,0.5214,15579,0,0,0,0,11977,0.061559,0.241713,0.279619,194560,0,0.0,0,0
174,3,0.837414,26509,5506,0.732655,16693,0.457557,18431,0,0,0,0,14443,0.074234,0.240463,0.320501,194560,0,0.0,0,0
175,3,0.81833,25161,4758,0.775536,15832,0.528676,15874,0,0,0,0,12570,0.064607,0.284328,0.3572,194560,0,0.0,0,0
176,3,0.769885,26565,4543,0.748624,15909,0.486957,18187,0,0,0,0,13897,0.071428,0.238541,0.298482,194560,0,0.0,0,0
177,3,0.795274,25434,3970,0.807557,16257,0.519899,16367,0,0,0,0,12641,0.064972,0.256072,0.316905,194560,0,0.0,0,0
178,3,0.829959,24547,3506,0.665145,16867,0.571115,14651,0,0,0,0,11285,0.058003,0.26132,0.304475,194560,0,0.0,0,0
179,3,0.789991,26037,3454,0.766358,17115,0.485364,18005,0,0,0,0,13696,0.070395,0.231893,0.300672,194560,0,0.0,0,0
180,3,0.866325,24582,4440,0.773874,16856,0.591481,15735,0,0,0,0,12811,0.065846,0.296932,0.352744,194560,0,0.0,0,0
181,3,0.812436,23512,3527,0.737737,15575,0.597239,13823,0,0,0,0,10556,0.054256,0.273588,0.296703,194560,0,0.0,0,0
182,3,0.802012,25047,4180,0.741388,15908,0.515841,17261,0,0,0,0,13167,0.067676,0.258373,0.30341,194560,0,0.0,0,0
