round,phase,gate,lr,acc,delta_acc,params_global_norm,params_global_relative,params_local_mean_norm,params_local_rms_norm,params_disagreement_rms,params_disagreement_relative,params_retained_ratio,bn_mean_global_norm,bn_mean_global_relative,bn_mean_local_mean_norm,bn_mean_local_rms_norm,bn_mean_disagreement_rms,bn_mean_disagreement_relative,bn_mean_retained_ratio,bn_var_global_norm,bn_var_global_relative,bn_var_local_mean_norm,bn_var_local_rms_norm,bn_var_disagreement_rms,bn_var_disagreement_relative,bn_var_retained_ratio
1,1,0.0,0.09999725846827562,0.1007,nan,5.827031571542706,0.10400782366070116,11.389980482473188,11.39271185672768,9.789769470928947,0.859301068441211,0.5115927617706892,27.13467007330429,nan,35.29818003888734,35.33078601946682,22.626844508397063,0.6404285626685451,0.7687271707326139,59.58779531528546,1.8059893502751216,68.55684496856293,68.95484792687053,34.699645962802286,0.5032227175615368,0.8691735353721387
2,1,0.0,0.09998903417374227,0.244,0.14329999999999998,5.13283204204471,0.09186203249714676,10.040990455831784,10.059996058057713,8.65202606354968,0.8600426892433723,0.5111878220204435,10.063423069687934,0.3708695570095971,20.340011792277416,20.50181525845773,17.862024943654784,0.8712411422342743,0.4947599427404835,19.123496765888103,0.21615050555665893,32.653566508527064,33.267135759340675,27.22120881045367,0.8182612716458633,0.5856480259482297
3,1,0.0,0.09997532801828658,0.3258,0.08179999999999998,5.047289061720091,0.09029010071028838,9.70770587201368,9.74451218702763,8.335489780765208,0.8554034948883146,0.5199260389904177,12.116897699959956,0.4007154205500088,22.050096941591708,22.280559636842227,18.697703674036905,0.8391936279337949,0.5495167541465369,20.138655914862813,0.2446794159467536,33.93430707771915,34.90235803745057,28.50629904613428,0.8167442158362694,0.5934600600135905
4,1,0.0,0.09995614150494292,0.324,-0.0017999999999999683,5.1680611073406615,0.0922777072448749,9.571036952075033,9.586106613692012,8.07369702117022,0.8422290035496174,0.5399687759245573,11.345887811303156,0.3455023505485068,20.70083239010269,20.82198801286769,17.45926717780538,0.838501451783365,0.5480884825060347,22.784688554475366,0.2547270874785205,35.427556624620216,36.64374341117048,28.69881313462854,0.7831845347405197,0.6431346309285482
5,1,0.0,0.0999314767377287,0.3015,-0.02250000000000002,4.977634676390611,0.08867976640908837,9.668363165262964,9.783255451565385,8.422306056082135,0.8608899254219629,0.5148373712599601,12.796576628454114,0.37146282552060333,23.208505375681337,23.619182322483873,19.852289299686834,0.8405155194889533,0.5513744388668304,46.57931182401992,0.4955122088756544,69.52205149436465,87.18601232149841,73.70053101894418,0.8453251738039523,0.6699933448856233
6,1,0.0,0.09990133642141358,0.4436,0.1421,4.226938391031676,0.07518266742259981,8.650300403749279,8.669463476469653,7.569186747649364,0.8730859491124657,0.4886464277240134,11.316843597163958,0.3150377681929473,19.063819313425437,19.248367231479033,15.570121681602194,0.808906100676353,0.5936293987634589,47.78012596880932,0.40028382898943826,53.665123430513866,53.761118222706855,24.643811689168015,0.45839470055441134,0.8903385087835586
7,1,0.0,0.09986572386122292,0.3626,-0.08100000000000002,4.0708195682298065,0.07223225492078461,8.551803169800527,8.631141380052755,7.610849433638172,0.8817894526936428,0.4760188567722565,9.155938691394928,0.25628663314476086,17.415860154433812,17.663673135349693,15.10543390343631,0.8551694649062732,0.5257241738395543,17.171304761306963,0.18241694986903154,25.034562428353315,25.376129710275613,18.684064463653584,0.7362850315226677,0.6859039302344392
8,1,0.0,0.09982464296247523,0.498,0.13540000000000002,3.847498485268598,0.06817189044817076,8.485761115695126,8.509922179957254,7.590489466429077,0.8919575650534568,0.45340641019841194,7.9134783369998125,0.21920101731924999,16.010891806326427,16.181213038880273,14.114124604759182,0.872253802656557,0.49425593731593004,13.642715709606867,0.14918744910010082,24.44140306441859,26.113361964794475,22.266206934023614,0.8526748476141249,0.558180546086068
9,1,0.0,0.09977809823015402,0.3973,-0.10070000000000001,3.6324930399750666,0.06424408406139283,8.072582680359595,8.10703829817895,7.2476936972410915,0.8940001799262637,0.44997904435377756,7.102692952864597,0.19310698368024048,14.51429481981453,14.560038712795764,12.710093604010401,0.8729436682637677,0.48935845943877265,11.219748328271551,0.11968279028190691,19.92940184711017,20.135359908963302,16.719747986675767,0.8303674760356745,0.5629746649871707
10,1,0.0,0.09972609476841367,0.4952,0.09789999999999999,3.1430891885022296,0.0555331548824287,7.4783944154142565,7.554203429779974,6.869277943169505,0.9093318715894816,0.42028930461648056,5.3015710430057865,0.1459439205770721,12.275285914739992,12.407589417514448,11.217915112177637,0.9041172088062911,0.4318898215348071,10.364799706427831,0.11178781096215655,17.638458437837752,17.730194104468573,14.385086659365582,0.8113327228459435,0.587625032139624
11,1,0.0,0.09966863828001982,0.525,0.02980000000000005,3.3930986029173886,0.05992876296113157,7.799384148612424,7.864809151078601,7.095217014530216,0.9021473856815914,0.4350469906679811,6.27634276481109,0.17325007513808185,13.081998403517874,13.300424156307352,11.726414778115014,0.8816572043346521,0.4797694183423323,8.32094263431127,0.09254358719928198,16.605191989500725,17.120493475318042,14.962393326413293,0.87394638174326,0.5011048736788174
12,1,0.0,0.0996057350657239,0.4734,-0.051600000000000035,3.254036667015761,0.05745808404817402,7.543335482246829,7.573456984703565,6.838749577026637,0.9029891621275663,0.4313790198877017,5.82868287246738,0.16110240969430034,12.038197304899867,12.097797508090137,10.60109236529423,0.87628284059185,0.48418236757881933,9.394002218619773,0.10355790777837556,15.883692427109862,15.931765921656133,12.867551503304346,0.8076663670920131,0.5914243342175489
13,1,0.0,0.09953739202357217,0.5654,0.09200000000000003,2.944691641597913,0.05197500946810627,7.212859705701373,7.275905946052399,6.653389984481819,0.9144414501525641,0.4082557767303161,4.874352958981632,0.13563244441014222,10.9373620645803,11.022379630597912,9.886027304393595,0.8969049910919575,0.4456607480122471,7.2769456559578325,0.08150511178497845,13.687326210834662,13.747857881395143,11.6640320484214,0.8484254164575148,0.5316557480888796
14,1,0.0,0.09946361664814941,0.5521,-0.013299999999999979,2.7245694195236467,0.04810510505487358,7.084203471127775,7.103791227043907,6.560531323342531,0.9235253562023046,0.38459784937401115,4.19238676608144,0.11591151748488315,10.080793145619646,10.116597791285166,9.207032349358505,0.9100917659580975,0.41587866207761,6.505554426005791,0.07326231303993765,12.224461241141208,12.270771862538394,10.404307080191472,0.8478934493073678,0.5321751443827613
15,1,0.0,0.09938441702975688,0.5269,-0.0252,2.7770172804054583,0.04907173586703819,7.086136227340096,7.119276937709301,6.555324473828752,0.9207851487145539,0.3918944247347415,3.972813210727022,0.1121472345165159,10.218354999913837,10.283701643734267,9.485318913564972,0.9223642655312021,0.38879185649358644,6.650738445468289,0.07542935791510971,12.327411816223243,12.442826234986587,10.516254547922342,0.8451660699361746,0.5395080933952184
16,1,0.0,0.09929980185352526,0.6256,0.09870000000000001,2.623212327371121,0.04636360893309808,6.848923746657739,6.929003196462924,6.413255208509794,0.9255667845244456,0.3830108823523175,3.8358501713113937,0.10933182577793525,9.214634292368608,9.308173529753645,8.4810581625677,0.9111409596585126,0.4162780691674519,7.14311427905017,0.08077721167780394,11.832694785994901,11.887383408264931,9.501884427655977,0.7993251417338495,0.6036760356148722
17,1,0.0,0.09920978039846208,0.5002,-0.12540000000000007,3.1604192305555574,0.055888498344326826,7.441621849436432,7.466787505165332,6.764958669734496,0.9060065878471393,0.42469495151717523,3.9503072407242734,0.11393383027686835,9.547024818147532,9.583594707156559,8.731572531706727,0.9110957629694436,0.4137736431998483,5.345857603072959,0.06075049231000931,11.343235173412339,11.432801280339609,10.105975514698379,0.8839456985994409,0.4712815630943837
18,1,0.0,0.09911436253643445,0.453,-0.047199999999999964,3.805599444220871,0.0673005023488158,7.9089426877047035,7.993695920345763,7.02969322948544,0.8794046332927529,0.48117676337914067,5.284168461770793,0.15133601933580548,10.813598711331178,10.999220479305045,9.646782560398554,0.8770423848261708,0.4886595667946976,7.585254889261963,0.08418649836257015,13.894527726167365,14.382338236610783,12.219474720088087,0.8496166978595284,0.545916711870441
19,1,0.0,0.0990135587310861,0.5793,0.12630000000000002,2.855025892667927,0.050507554647615964,6.74398274104164,6.8015051967468,6.173273038049598,0.9076333634211309,0.42334418729947026,4.258423951687574,0.12121318317908301,8.83374722366505,8.928629076706242,7.847690367063526,0.8789356461830451,0.4820631430656659,7.710781629395431,0.08312356832199104,11.865052184511764,11.897340094200839,9.060384024208796,0.7615470308884529,0.6498733852566466
20,1,0.0,0.09890738003669029,0.5442,-0.03510000000000002,2.8449974376967324,0.05037946157933469,7.088989437317511,7.120048295815293,6.526950073986064,0.9167002529775234,0.4013262345575289,3.890522633947704,0.11259058143090858,8.917833656711004,8.95547313916359,8.066246495360991,0.900705788517875,0.4362631984080506,4.426010787068521,0.04916286797016061,9.454397225944652,9.467631034395218,8.369376492744804,0.8839990133053839,0.46814309588375574
21,1,0.0,0.09879583809693737,0.6223,0.07809999999999995,2.758919213528016,0.04888945403867003,6.987787185148821,7.013617764507875,6.448193462998381,0.91938193376166,0.3948201541385749,3.56108393774761,0.1043012091039038,8.441019003744458,8.493133659897934,7.710512370917566,0.9078524699692795,0.42187844099958827,5.125585587241051,0.056910164434585964,10.03469074311184,10.125084891748198,8.73187993008813,0.8624006636432737,0.5107866020444558
22,1,0.0,0.09867894514365803,0.5251,-0.09719999999999995,2.728267555401335,0.04841540491060177,6.71581204934518,6.749210418911786,6.173199926178928,0.914655128973482,0.4062453706796861,3.5161581294169184,0.10432278324050497,7.887947588228647,7.920908669175622,7.097705660830807,0.8960721499607329,0.4457633738165498,4.657783070451116,0.05127901765525474,8.971625355982297,8.976784566677912,7.673833753065462,0.8548532824939298,0.5191682538711112
23,1,0.0,0.09855671399548181,0.5976,0.07250000000000001,2.827785152860815,0.05023030558336656,7.069957076541861,7.113925382988909,6.527753465133416,0.917602183562795,0.39997203975161527,3.6768152321525536,0.10918121307653193,8.300521369311188,8.393263275645422,7.5450578693332995,0.8989421184042511,0.442961962093915,4.086334468846231,0.045354564010800506,9.6204037247072,9.868511040064625,8.982726664385035,0.9102413350825224,0.42475706693594084
24,1,0.0,0.09842915805643157,0.6123,0.014699999999999935,2.5164303096290452,0.044713574508747196,6.239289548062828,6.2672798574424675,5.739893322807713,0.9158508082244841,0.4033200078701822,3.124926377911789,0.09314830394644567,6.931175579795438,6.969857606256374,6.230068347029578,0.8938587700037463,0.45085084657515134,5.33351889839177,0.0591722989366934,8.868413209490045,8.881946842379449,7.102292775570922,0.799632434376092,0.6014062236843449
