round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes
1,1,0.09999725846827562,0.0,0.0,0.0679430509868421,1.0,0.0679430509868421,0.03452405427631579,0.0,0.0,0.0,0.0,0.9320569490131579,0,0.0,0,1.0828859168447946,0.042009075771956735,0.0,0.0,1.1248949926167513,1.1248949922229114,194560,760,0.0,0.0,0
2,1,0.09998903417374227,0.0,0.0,0.10670230263157894,1.0,0.10670230263157894,0.05645559210526316,0.0,0.0,0.0,0.0,0.893297697368421,0,0.0,0,0.8846739792510083,0.06912699527692893,0.0,0.0,0.9538009745279372,0.9538009736490877,194560,760,0.0,0.0,0
3,1,0.09997532801828658,0.0,0.0,0.16544510690789474,1.0,0.16544510690789474,0.08770045230263158,0.0,0.0,0.0,0.0,0.8345548930921053,0,0.0,0,0.6994241817217124,0.10179498157818959,0.0,0.0,0.801219163299902,0.8012191638350487,194560,760,0.0,0.0,0
4,1,0.09995614150494292,0.0,0.0,0.20275493421052632,1.0,0.20275493421052632,0.0978515625,0.0,0.0,0.0,0.0,0.7972450657894737,0,0.0,0,0.6094108264893293,0.11911018363913937,0.0,0.0,0.7285210101284687,0.7285210110639271,194560,760,0.0,0.0,0
5,1,0.09993147673772868,0.0,0.0,0.1986328125,1.0,0.1986328125,0.08907277960526316,0.0,0.0,0.0,0.0,0.8013671875,0,0.0,0,0.6489816232486383,0.11940912443923193,0.0,0.0,0.7683907476878702,0.768390746551909,194560,760,0.0,0.0,0
6,1,0.09990133642141356,0.0,0.0,0.2507452713815789,1.0,0.2507452713815789,0.10944181743421053,0.0,0.0,0.0,0.0,0.749254728618421,0,0.0,0,0.4105840027234272,0.15226991641056406,0.0,0.0,0.5628539191339913,0.5628539194205874,194560,760,0.0,0.0,0
7,1,0.0998657238612229,0.0,0.0,0.2703330592105263,1.0,0.2703330592105263,0.1334703947368421,0.0,0.0,0.0,0.0,0.7296669407894737,0,0.0,0,0.4048226679577247,0.16575950489878108,0.0,0.0,0.5705821728565058,0.5705821716471722,194560,760,0.0,0.0,0
8,1,0.0998246429624752,0.0,0.0,0.32232730263157894,1.0,0.32232730263157894,0.1127672697368421,0.0,0.0,0.0,0.0,0.6776726973684211,0,0.0,0,0.3429158336531959,0.18753002141847422,0.0,0.0,0.5304458550716701,0.530445855365772,194560,760,0.0,0.0,0
9,1,0.09977809823015399,0.0,0.0,0.3451428865131579,1.0,0.3451428865131579,0.15995065789473684,0.0,0.0,0.0,0.0,0.6548571134868421,0,0.0,0,0.2921927353636803,0.18757976368559817,0.0,0.0,0.47977249904927843,0.47977249894879365,194560,760,0.0,0.0,0
10,1,0.09972609476841367,0.0,0.0,0.38390213815789476,1.0,0.38390213815789476,0.1725842927631579,0.0,0.0,0.0,0.0,0.6160978618421052,0,0.0,0,0.2386470838633709,0.20316883455961943,0.0,0.0,0.44181591842299034,0.4418159178213069,194560,760,0.0,0.0,0
