phase,round,acc,loss,L_sup,L_A,L_B,L_proto,best_acc,best_round,gate,a_ratio,b_ratio,c_ratio,m_a,geom_drop_rate,a_prec,b_prec,hce_rate,proto_a_share,proto_a_dirty,proto_a_unique,proto_lab_mass,proto_a_mass,lab_mult,rel_r,rel_m,rel_alpha,tau0,delta0,eta_B,tau_warmup,cap_a,cap_b,lambda_A_scale,lambda_B_scale,use_a_for_proto,lr,cnt_u,cnt_a,cnt_b,cnt_c,pass_s,geom_drop,a_total,a_correct,b_total,b_correct,hce_hc,hce_den_hc,n_batches
3,287,0.8603,0.31551,0.00641,0.15653,0.11378,0.38797,0.8631,284,1.0,0.6851,0.22958,0.08532,0.68624,0.00166,0.94021,0.65402,0.06745,0.57214,0.0575,15920.77185,97280.0,130083.27441,48.64,0.90747,0.35506,0.29128,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.00046,194560,133294,44667,16599,133515,221,133294,125325,44667,29213,9846,145982,760
3,288,0.8618,0.32307,0.00878,0.15453,0.11964,0.40115,0.8631,284,1.0,0.66764,0.24252,0.08984,0.66882,0.00175,0.93991,0.67375,0.06632,0.56583,0.0578,15546.29004,97280.0,126780.98438,48.64,0.90362,0.35162,0.29132,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.00039,194560,129897,47184,17479,130125,228,129897,122092,47184,31790,9551,144009,760
3,289,0.8616,0.31477,0.00747,0.14601,0.12237,0.38919,0.8631,284,1.0,0.64523,0.27065,0.08412,0.64668,0.00225,0.94008,0.71374,0.06455,0.55765,0.05757,15107.55396,97280.0,122635.05078,48.64,0.90781,0.3554,0.29007,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.00033,194560,125536,52658,16366,125819,283,125536,118014,52658,37584,9426,146029,760
3,290,0.8614,0.31203,0.00964,0.13862,0.12397,0.39793,0.8631,284,1.0,0.63973,0.27505,0.08522,0.64109,0.00212,0.94525,0.73758,0.05848,0.55562,0.05267,14910.77747,97280.0,121630.83887,48.64,0.9074,0.3543,0.28983,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.00027,194560,124466,53513,16581,124730,264,124466,117652,53513,39470,8536,145965,760
3,291,0.8605,0.31895,0.00911,0.14072,0.12957,0.3955,0.8631,284,1.0,0.64808,0.26359,0.08833,0.64894,0.00132,0.94781,0.69716,0.06307,0.55926,0.05055,15223.52795,97280.0,123441.36035,48.64,0.90514,0.35209,0.28897,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.00022,194560,126090,51284,17186,126257,167,126090,119509,51284,35753,9154,145148,760
3,292,0.8628,0.32604,0.00991,0.13822,0.13772,0.40186,0.8631,284,1.0,0.62411,0.28487,0.09102,0.6252,0.00173,0.9464,0.71088,0.06346,0.54986,0.05165,14702.55054,97280.0,118829.51758,48.64,0.9022,0.34891,0.28904,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.00018,194560,121427,55424,17709,121638,211,121427,114919,55424,39400,9080,143089,760
3,293,0.8618,0.31803,0.00947,0.14627,0.1225,0.39795,0.8631,284,1.0,0.65322,0.26188,0.0849,0.6547,0.00227,0.943,0.70428,0.06292,0.56075,0.05486,15225.19836,97280.0,124188.14746,48.64,0.90698,0.3556,0.29009,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.00013,194560,127090,50951,16519,127379,289,127090,119846,50951,35884,9165,145657,760
3,294,0.8598,0.32351,0.01011,0.14887,0.12462,0.39912,0.8631,284,1.0,0.64489,0.27048,0.08464,0.64656,0.00259,0.94176,0.71726,0.06129,0.55737,0.05594,14973.86548,97280.0,122495.25195,48.64,0.90714,0.3565,0.2905,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0001,194560,125469,52624,16467,125795,326,125469,118162,52624,37745,8929,145677,760
3,295,0.8608,0.33152,0.00983,0.15894,0.12319,0.39569,0.8631,284,1.0,0.66065,0.24655,0.09279,0.66188,0.00185,0.93974,0.66699,0.06628,0.56329,0.05813,15522.26855,97280.0,125477.78613,48.64,0.90126,0.35033,0.29082,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0001,194560,128537,47969,18054,128775,238,128537,120791,47969,31995,9424,142179,760
3,296,0.8625,0.33045,0.01187,0.14751,0.13068,0.40385,0.8631,284,1.0,0.63297,0.27162,0.09541,0.6342,0.00193,0.94336,0.70891,0.06105,0.55249,0.05458,14789.51917,97280.0,120100.39062,48.64,0.89909,0.34698,0.29129,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0001,194560,123151,52847,18562,123389,238,123151,116176,52847,37464,8618,141155,760
3,297,0.8628,0.32522,0.01098,0.14999,0.12334,0.409,0.8631,284,1.0,0.66306,0.24912,0.08782,0.66423,0.00176,0.94792,0.69553,0.06037,0.56432,0.0502,15430.94507,97280.0,126000.84375,48.64,0.90492,0.35327,0.29075,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0001,194560,129005,48468,17087,129233,228,129005,122286,48468,33711,8739,144757,760
3,298,0.861,0.3333,0.01128,0.14686,0.1343,0.40852,0.8631,284,1.0,0.63377,0.27322,0.09302,0.63518,0.00222,0.94424,0.70064,0.06296,0.55315,0.05372,14860.28943,97280.0,120422.71191,48.64,0.90052,0.34787,0.29036,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0001,194560,123306,53157,18097,123580,274,123306,116430,53157,37244,8966,142416,760
3,299,0.8625,0.33853,0.01106,0.16166,0.12517,0.40638,0.8631,284,1.0,0.66015,0.24451,0.09534,0.66157,0.00214,0.9394,0.66145,0.06701,0.56279,0.05844,15481.22864,97280.0,125219.78711,48.64,0.89876,0.34552,0.29131,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0001,194560,128439,47571,18550,128715,276,128439,120656,47571,31466,9473,141361,760
3,300,0.8624,0.33005,0.00946,0.16529,0.11617,0.39125,0.8631,284,1.0,0.68897,0.21973,0.0913,0.69017,0.00174,0.94173,0.62716,0.06669,0.5734,0.05617,16097.28589,97280.0,130757.56055,48.64,0.90206,0.35047,0.29166,0.92,0.1,0.6,0.95,0.0,0.0,1.0,1.0,1.0,0.0001,194560,134046,42750,17764,134280,234,134046,126235,42750,26811,9517,142704,760
