round,phase,geom_cov,band_n,sup_n,sup_acc,opp_n,opp_acc,c_lowconf,c_wouldB,c_wouldB_geommiss,c_wouldB_conflict,c_wouldB_other,conflictC_n,conflictC_frac,conflictC_clf_acc,conflictC_proto_acc,tau_n,tau_clipped_n,tau_clipped_frac,tau_raw_ge1_n,tau_effective_ge1_n
224,3,1.0,24893,23393,0.64686,1500,0.458,14441,7958,0,1199,6759,5476,0.028146,0.313367,0.399562,194560,0,0.0,14384,14384
225,3,1.0,25082,23867,0.642812,1215,0.492181,14349,7392,0,922,6470,4898,0.025175,0.361984,0.334831,194560,0,0.0,17064,17064
226,3,1.0,23695,22494,0.674758,1201,0.542048,12455,6522,0,854,5668,4416,0.022697,0.363678,0.351449,194560,0,0.0,11427,11427
227,3,1.0,25176,24004,0.639768,1172,0.466724,14182,7073,0,827,6246,4636,0.023828,0.373382,0.302847,194560,0,0.0,30426,30426
228,3,1.0,25033,23998,0.671514,1035,0.518841,13341,7260,0,866,6394,4647,0.023885,0.36927,0.344093,194560,0,0.0,10459,10459
229,3,1.0,24384,23407,0.663477,977,0.426817,13339,6747,0,922,5825,4614,0.023715,0.294105,0.410056,194560,0,0.0,8784,8784
230,3,1.0,24274,23103,0.664416,1171,0.416738,13299,6658,0,996,5662,4781,0.024573,0.348254,0.344698,194560,0,0.0,17327,17327
231,3,1.0,23763,22528,0.693004,1235,0.501215,12531,6413,0,719,5694,4057,0.020852,0.424698,0.29825,194560,0,0.0,24078,24078
232,3,1.0,24063,23115,0.678434,948,0.473629,12562,6246,0,824,5422,4280,0.021998,0.330374,0.369159,194560,0,0.0,19303,19303
233,3,1.0,23941,22774,0.655177,1167,0.523565,12505,6171,0,777,5394,4240,0.021793,0.358255,0.359906,194560,0,0.0,26255,26255
234,3,1.0,24519,23683,0.696491,836,0.470096,13267,6508,0,889,5619,4713,0.024224,0.320603,0.40017,194560,0,0.0,15114,15114
235,3,1.0,24465,23463,0.692068,1002,0.481038,12324,6625,0,877,5748,4467,0.022959,0.324603,0.408552,194560,0,0.0,13670,13670
