round,client,pred_class,geometry_group,a_visits,a_correct,old_weight,new_weight,old_wrong_weight,new_wrong_weight,calibrated_visits
195,14,1,neutral,2219.0,2219.0,2185.458471596241,2219.0,0.0,0.0,2209.0
195,14,1,distance,1107.0,1101.0,876.6101701259613,1091.0473675131798,3.7962743043899536,5.77315080165863,1034.0
195,14,2,unknown,789.0,777.0,789.0,789.0,12.0,12.0,0.0
195,14,3,neutral,851.0,114.0,848.4133044481277,851.0,735.3984469175339,737.0,787.0
195,14,3,distance,411.0,24.0,327.0405624508858,402.97642773389816,307.49624955654144,379.4347116947174,277.0
195,14,4,unknown,2.0,1.0,2.0,2.0,1.0,1.0,0.0
195,14,5,unknown,2.0,0.0,2.0,2.0,2.0,2.0,0.0
195,14,6,unknown,192.0,190.0,192.0,192.0,2.0,2.0,0.0
195,14,7,neutral,770.0,508.0,754.3766929507256,770.0,254.01490187644958,262.0,766.0
195,14,7,distance,1858.0,117.0,987.0402705073357,1772.135936141014,907.5962051749229,1657.1305865645409,1158.0
195,14,7,conflict,5.0,0.0,2.081302046775818,3.824442982673645,2.081302046775818,3.824442982673645,0.0
195,14,8,neutral,2413.0,2401.0,2360.2840259075165,2413.0,11.65599399805069,12.0,2412.0
195,14,8,distance,1758.0,1668.0,1137.0515629649162,1716.8946852087975,52.341576635837555,86.53071212768555,1483.0
195,14,9,neutral,374.0,341.0,366.02231526374817,374.0,29.54615294933319,33.0,372.0
195,14,9,distance,508.0,111.0,302.41933685541153,489.31681871414185,217.23995381593704,379.90035331249237,290.0
195,5,0,neutral,102.0,49.0,94.22531151771545,102.0,48.15482985973358,53.0,93.0
195,5,0,distance,93.0,6.0,77.73332673311234,91.69238674640656,72.29792559146881,85.73083633184433,46.0
195,5,1,neutral,3055.0,2997.0,2962.987857222557,3055.0,47.106080293655396,58.0,3049.0
195,5,1,distance,783.0,729.0,568.3482758998871,769.880705177784,31.802431523799896,52.35625243186951,668.0
195,5,2,unknown,22.0,19.0,22.0,22.0,3.0,3.0,1.0
195,5,3,neutral,2302.0,2118.0,2253.9155545830727,2302.0,178.7154285311699,184.0,2227.0
195,5,3,distance,1050.0,750.0,681.9125069975853,1015.137501180172,188.79156285524368,287.5084220170975,534.0
195,5,4,neutral,1215.0,464.0,1200.9345403313637,1215.0,740.5728475451469,751.0,1186.0
195,5,4,distance,1356.0,86.0,903.4600011706352,1313.166128396988,839.3696928024292,1228.5667828917503,914.0
195,5,5,neutral,589.0,335.0,581.0962699651718,589.0,247.6475642323494,254.0,578.0
195,5,5,distance,582.0,64.0,380.6905641555786,561.9173226952553,330.6607173681259,498.9865203499794,334.0
195,5,5,conflict,1.0,0.0,0.6196887493133545,0.9614620208740234,0.6196887493133545,0.9614620208740234,0.0
195,5,6,unknown,206.0,206.0,206.0,206.0,0.0,0.0,39.0
195,5,7,neutral,1228.0,1227.0,1216.9236195087433,1228.0,1.0,1.0,1225.0
195,5,7,distance,452.0,435.0,344.58505833148956,446.4338114261627,10.318067610263824,16.523897767066956,415.0
195,5,8,unknown,1112.0,1107.0,1112.0,1112.0,5.0,5.0,37.0
195,5,9,neutral,2417.0,2410.0,2302.853689491749,2417.0,4.973230719566345,7.0,2399.0
195,5,9,distance,1255.0,1229.0,909.2810479998589,1233.4080235362053,14.820314586162567,25.073188841342926,1100.0
