round,client,fedavg_weight,L_sup,L_A,L_B,L_proto,L_feature,loss,a_count,b_count,c_count,a_correct,b_correct,c_correct,a_wrong_weight,u_visits,geometry_mix,geometry_valid,target_entropy,teacher_correct,fused_correct,correction_good,correction_bad,feature_std,steps
3,5,0.125,68.82662941515446,0.0,0.0,0.0,0.0,68.82662941515446,0.0,3042.0,21278.0,0.0,984.0,2541.0,0.0,24320.0,0.0,0.0,36631.10955810547,3525.0,3525.0,0.0,0.0,3.0743927620351315,95
3,11,0.125,83.14119642972946,0.0,0.0,0.0,0.0,83.14119642972946,62.0,2873.0,21385.0,48.0,844.0,3750.0,0.0,24320.0,0.0,0.0,43750.826904296875,4642.0,4642.0,0.0,0.0,3.0169087518006563,95
4,6,0.125,61.79812817275524,0.0,0.0,0.0,0.0,61.79812817275524,120.0,5100.0,19100.0,113.0,2770.0,4798.0,0.0,24320.0,0.0,0.0,35598.22772216797,7681.0,7681.0,0.0,0.0,3.1155435852706432,95
4,16,0.125,64.05130350589752,0.0,0.0,0.0,0.0,64.05130350589752,124.0,2481.0,21715.0,75.0,904.0,2469.0,0.0,24320.0,0.0,0.0,41391.04885864258,3448.0,3448.0,0.0,0.0,3.1406689304858446,95
4,14,0.125,45.16623870283365,0.0,0.0,0.0,0.0,45.16623870283365,136.0,5200.0,18984.0,63.0,1336.0,3761.0,0.0,24320.0,0.0,0.0,34153.454330444336,5160.0,5160.0,0.0,0.0,2.9215604681521654,95
4,19,0.125,61.03534854948521,0.0,0.0,0.0,0.0,61.03534854948521,10.0,6075.0,18235.0,9.0,1659.0,3577.0,0.0,24320.0,0.0,0.0,34702.467529296875,5245.0,5245.0,0.0,0.0,3.0055390261113644,95
4,0,0.125,53.697485506534576,0.0,0.0,0.0,0.0,53.697485506534576,57.0,7544.0,16719.0,45.0,3587.0,3067.0,0.0,24320.0,0.0,0.0,35371.22265625,6699.0,6699.0,0.0,0.0,3.12623792514205,95
4,10,0.125,81.84287306666374,0.0,0.0,0.0,0.0,81.84287306666374,0.0,1750.0,22570.0,0.0,749.0,5100.0,0.0,24320.0,0.0,0.0,38426.903076171875,5849.0,5849.0,0.0,0.0,3.2071399614214897,95
4,8,0.125,49.71646521985531,0.0,0.0,0.0,0.0,49.71646521985531,4.0,15088.0,9228.0,0.0,744.0,464.0,0.0,24320.0,0.0,0.0,25945.38607788086,1208.0,1208.0,0.0,0.0,3.128314685076475,95
4,12,0.125,67.276785582304,0.0,0.0,0.0,0.0,67.276785582304,0.0,2449.0,21871.0,0.0,1024.0,3780.0,0.0,24320.0,0.0,0.0,40024.58578491211,4804.0,4804.0,0.0,0.0,3.0638438295572996,95
5,7,0.125,89.1388977766037,0.0,0.0,0.0,0.0,89.1388977766037,0.0,1380.0,22940.0,0.0,626.0,3593.0,0.0,24320.0,0.0,0.0,42968.63201904297,4219.0,4219.0,0.0,0.0,3.416137419641018,95
5,6,0.125,51.782631158828735,0.0,0.0,0.0,0.0,51.782631158828735,257.0,5229.0,18834.0,248.0,2509.0,4869.0,0.0,24320.0,0.0,0.0,33452.8782043457,7626.0,7626.0,0.0,0.0,3.1391885094344616,95
5,1,0.125,69.70797441899776,0.0,0.0,0.0,0.0,69.70797441899776,0.0,4547.0,19773.0,0.0,2115.0,4182.0,0.0,24320.0,0.0,0.0,35310.78155517578,6297.0,6297.0,0.0,0.0,3.2401195615530014,95
5,8,0.125,33.05380128324032,0.0,0.0,0.0,0.0,33.05380128324032,275.0,7569.0,16476.0,109.0,1380.0,1377.0,0.0,24320.0,0.0,0.0,31374.724227905273,2866.0,2866.0,0.0,0.0,3.2047599516808987,95
5,11,0.125,72.31351302564144,0.0,0.0,0.0,0.0,72.31351302564144,61.0,3761.0,20498.0,45.0,1561.0,3771.0,0.0,24320.0,0.0,0.0,40255.82922363281,5377.0,5377.0,0.0,0.0,3.173882734030485,95
5,2,0.125,77.51960384845734,0.0,0.0,0.0,0.0,77.51960384845734,5.0,2871.0,21444.0,0.0,630.0,2630.0,0.0,24320.0,0.0,0.0,35198.8391418457,3260.0,3260.0,0.0,0.0,3.243151441216469,95
5,18,0.125,77.20837506651878,0.0,0.0,0.0,0.0,77.20837506651878,0.0,2551.0,21769.0,0.0,467.0,2622.0,0.0,24320.0,0.0,0.0,42612.23504638672,3089.0,3089.0,0.0,0.0,3.0578875318169594,95
5,10,0.125,73.37647816538811,0.0,0.0,0.0,0.0,73.37647816538811,0.0,2253.0,22067.0,0.0,981.0,5160.0,0.0,24320.0,0.0,0.0,37741.78057861328,6141.0,6141.0,0.0,0.0,3.38161464035511,95
6,19,0.125,49.763502076268196,0.0,0.0,0.0,0.0,49.763502076268196,180.0,6026.0,18114.0,110.0,2356.0,3614.0,0.0,24320.0,0.0,0.0,31829.360397338867,6080.0,6080.0,0.0,0.0,3.2411094419658184,95
6,0,0.125,48.25839056074619,0.0,0.0,0.0,0.0,48.25839056074619,115.0,6640.0,17565.0,114.0,3706.0,3771.0,0.0,24320.0,0.0,0.0,38073.925384521484,7591.0,7591.0,0.0,0.0,3.232171405106783,95
6,14,0.125,37.20194956660271,0.0,0.0,0.0,0.0,37.20194956660271,75.0,4727.0,19518.0,36.0,1502.0,3048.0,0.0,24320.0,0.0,0.0,35388.528579711914,4586.0,4586.0,0.0,0.0,3.009325362741947,95
6,9,0.125,44.53776678442955,0.0,0.0,0.0,0.0,44.53776678442955,92.0,9497.0,14731.0,28.0,2120.0,2297.0,0.0,24320.0,0.0,0.0,29412.509399414062,4445.0,4445.0,0.0,0.0,3.297555446624756,95
6,2,0.125,36.22103710472584,0.0,0.0,0.0,0.0,36.22103710472584,57.0,13597.0,10666.0,15.0,3244.0,1342.0,0.0,24320.0,0.0,0.0,23409.633003234863,4601.0,4601.0,0.0,0.0,3.140241678804159,95
6,1,0.125,42.7252878472209,0.0,0.0,0.0,0.0,42.7252878472209,91.0,7270.0,16959.0,61.0,3280.0,4148.0,0.0,24320.0,0.0,0.0,31716.091079711914,7489.0,7489.0,0.0,0.0,3.256097186356783,95
6,18,0.125,43.927304930984974,0.0,0.0,0.0,0.0,43.927304930984974,19.0,8096.0,16205.0,16.0,2085.0,2825.0,0.0,24320.0,0.0,0.0,32940.40902709961,4926.0,4926.0,0.0,0.0,3.133386105298996,95
6,4,0.125,46.44587164372206,0.0,0.0,0.0,0.0,46.44587164372206,259.0,8915.0,15146.0,35.0,2223.0,2798.0,0.0,24320.0,0.0,0.0,29792.058868408203,5056.0,5056.0,0.0,0.0,3.2693552896380424,95
7,7,0.125,48.39282190054655,0.0,0.0,0.0,0.0,48.39282190054655,240.0,5276.0,18804.0,179.0,2764.0,4565.0,0.0,24320.0,0.0,0.0,37307.76184082031,7508.0,7508.0,0.0,0.0,3.2644787468016148,95
7,17,0.125,31.610676389187574,0.0,0.0,0.0,0.0,31.610676389187574,109.0,7865.0,16346.0,41.0,990.0,1967.0,0.0,24320.0,0.0,0.0,32211.826553344727,2998.0,2998.0,0.0,0.0,3.200618628412485,95
7,3,0.125,31.613376703113317,0.0,0.0,0.0,0.0,31.613376703113317,421.0,8148.0,15751.0,200.0,1504.0,1908.0,0.0,24320.0,0.0,0.0,30549.015548706055,3612.0,3612.0,0.0,0.0,3.2033235356211662,95
7,18,0.125,36.804973324760795,0.0,0.0,0.0,0.0,36.804973324760795,354.0,5932.0,18034.0,247.0,2159.0,2740.0,0.0,24320.0,0.0,0.0,33890.407455444336,5146.0,5146.0,0.0,0.0,3.1797941587865353,95
7,13,0.125,53.318436942994595,0.0,0.0,0.0,0.0,53.318436942994595,98.0,3946.0,20276.0,37.0,588.0,2376.0,0.0,24320.0,0.0,0.0,36399.687561035156,3001.0,3001.0,0.0,0.0,3.366636134684086,95
