round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,L_feature_effective,teacher_b_visits,teacher_b_precision,bc_feature_std,target_gate,target_c0_a_visits,target_c0_b_visits,target_c0_history_mature,target_c0_a_changed,target_c0_a_changed_correct,target_c0_candidate_visits,target_c0_candidate_contains_truth,target_c0_soft_visits,target_c0_soft_correct,target_c0_soft_a_fix,target_c0_soft_a_harm,target_c0_feature_only_visits,target_c0_a_hard_released_correct_mass,target_c0_a_hard_released_wrong_mass,target_c0_b_old_mass,target_c0_b_new_mass,target_c1_a_visits,target_c1_b_visits,target_c1_history_mature,target_c1_a_changed,target_c1_a_changed_correct,target_c1_candidate_visits,target_c1_candidate_contains_truth,target_c1_soft_visits,target_c1_soft_correct,target_c1_soft_a_fix,target_c1_soft_a_harm,target_c1_feature_only_visits,target_c1_a_hard_released_correct_mass,target_c1_a_hard_released_wrong_mass,target_c1_b_old_mass,target_c1_b_new_mass,target_c2_a_visits,target_c2_b_visits,target_c2_history_mature,target_c2_a_changed,target_c2_a_changed_correct,target_c2_candidate_visits,target_c2_candidate_contains_truth,target_c2_soft_visits,target_c2_soft_correct,target_c2_soft_a_fix,target_c2_soft_a_harm,target_c2_feature_only_visits,target_c2_a_hard_released_correct_mass,target_c2_a_hard_released_wrong_mass,target_c2_b_old_mass,target_c2_b_new_mass,target_c3_a_visits,target_c3_b_visits,target_c3_history_mature,target_c3_a_changed,target_c3_a_changed_correct,target_c3_candidate_visits,target_c3_candidate_contains_truth,target_c3_soft_visits,target_c3_soft_correct,target_c3_soft_a_fix,target_c3_soft_a_harm,target_c3_feature_only_visits,target_c3_a_hard_released_correct_mass,target_c3_a_hard_released_wrong_mass,target_c3_b_old_mass,target_c3_b_new_mass,target_c4_a_visits,target_c4_b_visits,target_c4_history_mature,target_c4_a_changed,target_c4_a_changed_correct,target_c4_candidate_visits,target_c4_candidate_contains_truth,target_c4_soft_visits,target_c4_soft_correct,target_c4_soft_a_fix,target_c4_soft_a_harm,target_c4_feature_only_visits,target_c4_a_hard_released_correct_mass,target_c4_a_hard_released_wrong_mass,target_c4_b_old_mass,target_c4_b_new_mass,target_c5_a_visits,target_c5_b_visits,target_c5_history_mature,target_c5_a_changed,target_c5_a_changed_correct,target_c5_candidate_visits,target_c5_candidate_contains_truth,target_c5_soft_visits,target_c5_soft_correct,target_c5_soft_a_fix,target_c5_soft_a_harm,target_c5_feature_only_visits,target_c5_a_hard_released_correct_mass,target_c5_a_hard_released_wrong_mass,target_c5_b_old_mass,target_c5_b_new_mass,target_c6_a_visits,target_c6_b_visits,target_c6_history_mature,target_c6_a_changed,target_c6_a_changed_correct,target_c6_candidate_visits,target_c6_candidate_contains_truth,target_c6_soft_visits,target_c6_soft_correct,target_c6_soft_a_fix,target_c6_soft_a_harm,target_c6_feature_only_visits,target_c6_a_hard_released_correct_mass,target_c6_a_hard_released_wrong_mass,target_c6_b_old_mass,target_c6_b_new_mass,target_c7_a_visits,target_c7_b_visits,target_c7_history_mature,target_c7_a_changed,target_c7_a_changed_correct,target_c7_candidate_visits,target_c7_candidate_contains_truth,target_c7_soft_visits,target_c7_soft_correct,target_c7_soft_a_fix,target_c7_soft_a_harm,target_c7_feature_only_visits,target_c7_a_hard_released_correct_mass,target_c7_a_hard_released_wrong_mass,target_c7_b_old_mass,target_c7_b_new_mass,target_c8_a_visits,target_c8_b_visits,target_c8_history_mature,target_c8_a_changed,target_c8_a_changed_correct,target_c8_candidate_visits,target_c8_candidate_contains_truth,target_c8_soft_visits,target_c8_soft_correct,target_c8_soft_a_fix,target_c8_soft_a_harm,target_c8_feature_only_visits,target_c8_a_hard_released_correct_mass,target_c8_a_hard_released_wrong_mass,target_c8_b_old_mass,target_c8_b_new_mass,target_c9_a_visits,target_c9_b_visits,target_c9_history_mature,target_c9_a_changed,target_c9_a_changed_correct,target_c9_candidate_visits,target_c9_candidate_contains_truth,target_c9_soft_visits,target_c9_soft_correct,target_c9_soft_a_fix,target_c9_soft_a_harm,target_c9_feature_only_visits,target_c9_a_hard_released_correct_mass,target_c9_a_hard_released_wrong_mass,target_c9_b_old_mass,target_c9_b_new_mass,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
1,1,0.1499958877024134,0.0,0.0,0.05389597039473684,1.0,0.05389597039473684,0.02872121710526316,0.0,0.0,0.0,0.0,0.9461040296052632,0,0.0,0,1.1554591883954248,0.031703642137946235,0.0,0.0,1.187162830533371,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1871628301708321,194560,760,0.0,0.0,0,0.0
2,1,0.14998355126061344,0.0,0.0,0.09188939144736842,1.0,0.09188939144736842,0.04904913651315789,0.0,0.0,0.0,0.0,0.9081106085526316,0,0.0,0,0.9444903954079277,0.06102767757461391,0.0,0.0,1.0055180729825415,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0055180719808527,194560,760,0.0,0.0,0,0.0
3,1,0.14996299202742983,0.0,0.0,0.14249074835526315,1.0,0.14249074835526315,0.07471731085526316,0.0,0.0,0.0,0.0,0.8575092516447368,0,0.0,0,0.7477427407314903,0.08963844274473894,0.0,0.0,0.8373811834762293,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8373811825717751,194560,760,0.0,0.0,0,0.0
4,1,0.14993421225741438,0.0,0.0,0.19288137335526315,1.0,0.19288137335526315,0.09500925164473684,0.0,0.0,0.0,0.0,0.8071186266447369,0,0.0,0,0.6312946542509292,0.11625495128350131,0.0,0.0,0.7475496055344305,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7475496047813641,194560,760,0.0,0.0,0,0.0
5,1,0.149897215106593,0.0,0.0,0.1875,1.0,0.1875,0.0844006990131579,0.0,0.0,0.0,0.0,0.8125,0,0.0,0,0.6868470145242387,0.11310764059874265,0.0,0.0,0.7999546551229814,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799954655217497,194560,760,0.0,0.0,0,0.0
6,1,0.14985200463212037,0.0,0.0,0.2379677220394737,1.0,0.2379677220394737,0.10770970394736842,0.0,0.0,0.0,0.0,0.7620322779605263,0,0.0,0,0.45530760703902495,0.14793022270637027,0.0,0.0,0.6032378297453952,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6032378292397449,194560,760,0.0,0.0,0,0.0
7,1,0.14979858579183433,0.0,0.0,0.25628083881578945,1.0,0.25628083881578945,0.12670641447368422,0.0,0.0,0.0,0.0,0.7437191611842106,0,0.0,0,0.446736195056062,0.1562769216343602,0.0,0.0,0.6030131166904222,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6030131168859569,194560,760,0.0,0.0,0,0.0
8,1,0.14973696444371284,0.0,0.0,0.30703125,1.0,0.30703125,0.10691817434210527,0.0,0.0,0.0,0.0,0.69296875,0,0.0,0,0.3704472061491718,0.18063670493368256,0.0,0.0,0.5510839110828544,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5510839100534979,194560,760,0.0,0.0,0,0.0
9,1,0.149667147345231,0.0,0.0,0.3442485608552632,1.0,0.3442485608552632,0.15990439967105263,0.0,0.0,0.0,0.0,0.6557514391447369,0,0.0,0,0.30352499693828194,0.18792449882511345,0.0,0.0,0.49144949576339536,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4914494954637791,194560,760,0.0,0.0,0,0.0
10,1,0.14958914215262048,0.0,0.0,0.3825349506578947,1.0,0.3825349506578947,0.17369449013157895,0.0,0.0,0.0,0.0,0.6174650493421052,0,0.0,0,0.25334192971257785,0.20324513347035175,0.0,0.0,0.45658706318292963,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4565870634623264,194560,760,0.0,0.0,0,0.0
