2026-09-07 23:52:51,559 - INFO - run_id=20260907_235251 acc=./results/CIFAR10/PPFPSL_a0.1_20260907_235251.csv metrics=./results/CIFAR10/PPFPSL_a0.1_20260907_235251_metrics.csv ckpt=./results/CIFAR10/checkpoints/PPFPSL_a0.1_20260907_235251_latest.pt
2026-09-07 23:52:59,333 - INFO - [Schedule] adaptive=1 warmup=[0.15,0.40] geom=[0.12,0.35] target A-prec=0.9 A-ratio=0.22
2026-09-08 01:57:36,450 - INFO - Round 14/300 | Acc:0.3411 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.2333 (sup:0.134 A:0.100 B:0.000 proto:1.990) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:50.09% B-Prec:0.00% | rel r:0.881 m:0.000 alpha:1.000
2026-09-08 02:06:30,411 - INFO - Round 15/300 | Acc:0.3457 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1958 (sup:0.115 A:0.081 B:0.000 proto:2.007) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:55.62% B-Prec:0.00% | rel r:0.897 m:0.000 alpha:1.000
2026-09-08 02:15:23,578 - INFO - Round 16/300 | Acc:0.3305 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.2337 (sup:0.135 A:0.098 B:0.000 proto:2.029) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:52.95% B-Prec:0.00% | rel r:0.897 m:0.000 alpha:1.000
2026-09-08 02:24:16,328 - INFO - Round 17/300 | Acc:0.3269 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.2189 (sup:0.127 A:0.092 B:0.000 proto:2.002) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:37.17% B-Prec:0.00% | rel r:0.877 m:0.000 alpha:1.000
2026-09-08 02:33:09,292 - INFO - Round 18/300 | Acc:0.3318 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.2319 (sup:0.147 A:0.085 B:0.000 proto:1.933) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:56.73% B-Prec:0.00% | rel r:0.889 m:0.000 alpha:1.000
2026-09-08 02:42:02,175 - INFO - Round 19/300 | Acc:0.3223 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1826 (sup:0.098 A:0.085 B:0.000 proto:1.942) | Route: A:39.83% B:0.00% C:60.17% | A-Prec:51.64% B-Prec:0.00% | rel r:0.874 m:0.000 alpha:1.000
2026-09-08 02:50:54,054 - INFO - Round 20/300 | Acc:0.3292 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.2022 (sup:0.114 A:0.088 B:0.000 proto:1.971) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:47.41% B-Prec:0.00% | rel r:0.889 m:0.000 alpha:1.000
2026-09-08 02:59:46,913 - INFO - Round 21/300 | Acc:0.3235 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1772 (sup:0.099 A:0.079 B:0.000 proto:1.902) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:43.29% B-Prec:0.00% | rel r:0.873 m:0.000 alpha:1.000
2026-09-08 03:08:39,160 - INFO - Round 22/300 | Acc:0.3357 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1593 (sup:0.083 A:0.076 B:0.000 proto:1.922) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:43.78% B-Prec:0.00% | rel r:0.888 m:0.000 alpha:1.000
2026-09-08 03:17:34,084 - INFO - Round 23/300 | Acc:0.3195 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1586 (sup:0.082 A:0.077 B:0.000 proto:1.932) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:51.20% B-Prec:0.00% | rel r:0.884 m:0.000 alpha:1.000
2026-09-08 03:26:27,615 - INFO - Round 24/300 | Acc:0.3344 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1317 (sup:0.059 A:0.073 B:0.000 proto:1.878) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:55.27% B-Prec:0.00% | rel r:0.880 m:0.000 alpha:1.000
2026-09-08 03:35:20,462 - INFO - Round 25/300 | Acc:0.3369 Best:0.4256@6 Phase:1 gate:0.00 | tau0:0.920 d0:0.120 etaB:0.700 tw:0.950 lA:1.00 lB:1.00 protoA:0 | Loss:0.1743 (sup:0.092 A:0.082 B:0.000 proto:1.967) | Route: A:39.84% B:0.00% C:60.16% | A-Prec:51.51% B-Prec:0.00% | rel r:0.890 m:0.000 alpha:1.000
