round,client,epoch,cls,query_count,query_correct,own_distance_sum,margin_sum
31,17,1,2,23,20,4.829766750335693,1.4227981567382812
31,17,1,4,26,22,4.806827545166016,1.5118954181671143
31,17,1,7,21,17,2.8651089668273926,1.8469620943069458
31,17,1,8,22,22,2.99099063873291,4.907771587371826
31,17,1,9,29,29,2.551083564758301,6.947774887084961
31,17,2,2,23,23,4.897891521453857,3.2438535690307617
31,17,2,4,26,23,5.143963813781738,2.6974353790283203
31,17,2,7,21,20,2.3947184085845947,3.289422035217285
31,17,2,8,22,22,2.8401880264282227,5.4129838943481445
31,17,2,9,29,29,2.632389545440674,7.479977607727051
31,17,3,2,23,23,4.666250228881836,3.445746421813965
31,17,3,4,26,25,4.8859357833862305,4.140524387359619
31,17,3,7,21,21,2.44983172416687,4.140531063079834
31,17,3,8,22,22,2.756019115447998,5.585590362548828
31,17,3,9,29,29,3.0546205043792725,8.027885437011719
31,17,4,2,23,23,4.047618865966797,3.853797435760498
31,17,4,4,26,25,4.579391956329346,3.7976865768432617
31,17,4,7,21,21,2.3423967361450195,4.494518280029297
31,17,4,8,22,22,3.285830020904541,5.157493591308594
31,17,4,9,29,29,3.033442974090576,7.887240409851074
31,17,5,2,23,23,4.151987075805664,4.286787509918213
31,17,5,4,26,26,4.641419410705566,3.8396599292755127
31,17,5,7,21,21,2.5862631797790527,4.182015895843506
31,17,5,8,22,22,2.944404363632202,5.482142448425293
31,17,5,9,29,29,3.162626266479492,7.324128150939941
31,5,1,0,3,1,1.1850624084472656,-0.04558205604553223
31,5,1,1,22,18,3.1336965560913086,1.3471300601959229
31,5,1,3,28,23,5.397131443023682,1.7957626581192017
31,5,1,4,28,23,5.811694145202637,1.899343729019165
31,5,1,5,20,15,3.5085439682006836,0.6179078221321106
31,5,1,7,8,8,1.1643606424331665,0.7719396948814392
31,5,1,9,13,12,1.150894045829773,0.8450323343276978
31,5,2,0,3,3,0.9047375321388245,0.3360183835029602
31,5,2,1,22,22,2.467902183532715,5.174099922180176
31,5,2,3,28,26,5.582202911376953,4.282387733459473
