,acc
1,0.1
2,0.1453
3,0.2717
4,0.2633
5,0.2963
6,0.3561
7,0.3534
8,0.3961
9,0.3748
10,0.3994
11,0.419
12,0.4588
13,0.3787
14,0.4316
15,0.4148
16,0.4981
17,0.5242
18,0.4238
19,0.5133
20,0.5041
21,0.5207
22,0.4972
23,0.5319
24,0.548
25,0.4946
26,0.5264
27,0.5438
28,0.4919
29,0.4947
30,0.5145
31,0.5461
32,0.4913
33,0.578
34,0.5887
35,0.5954
36,0.6148
37,0.6396
38,0.6084
39,0.5834
40,0.5642
41,0.5252
42,0.6503
43,0.6214
44,0.6098
45,0.5943
46,0.5994
47,0.6057
48,0.5815
49,0.6312
50,0.6791
51,0.6684
52,0.6647
53,0.631
54,0.6655
55,0.6605
56,0.6588
57,0.672
58,0.6838
59,0.6757
60,0.6812
61,0.6723
62,0.6336
63,0.6382
64,0.6734
65,0.71
66,0.6807
67,0.7129
68,0.7005
69,0.6809
70,0.7066
71,0.7054
72,0.6628
73,0.6744
74,0.6775
75,0.7235
76,0.7206
77,0.7006
78,0.7422
79,0.7403
80,0.6974
81,0.7182
82,0.7148
83,0.6756
84,0.7061
85,0.7449
86,0.7136
87,0.7307
88,0.7319
89,0.6991
90,0.7425
91,0.6702
92,0.59
93,0.6981
94,0.5824
95,0.29
96,0.6698
97,0.6523
98,0.5797
99,0.6663
100,0.7387
101,0.698
102,0.6378
103,0.7173
104,0.66
105,0.7039
106,0.658
107,0.7098
108,0.61
109,0.6809
110,0.678
111,0.676
112,0.7155
113,0.7389
114,0.7008
115,0.7201
116,0.6975
117,0.6832
118,0.7083
119,0.6866
120,0.7299
121,0.7299
122,0.7523
123,0.6558
124,0.704
125,0.7248
126,0.7451
127,0.7276
128,0.7415
129,0.6851
130,0.672
131,0.7285
132,0.6477
133,0.6867
134,0.6499
135,0.7414
136,0.7169
137,0.7485
138,0.7448
139,0.7205
140,0.7459
141,0.7417
142,0.7511
143,0.76
144,0.7602
145,0.7469
146,0.7599
147,0.7381
148,0.7562
149,0.7403
150,0.751
151,0.7443
152,0.7731
153,0.7702
154,0.7609
155,0.7593
156,0.7609
157,0.7504
158,0.7659
159,0.782
160,0.7644
161,0.782
162,0.7627
163,0.7595
164,0.7572
165,0.7196
166,0.7748
167,0.7218
168,0.7713
169,0.7643
170,0.7571
171,0.7838
172,0.7821
173,0.7565
174,0.7767
175,0.7721
176,0.7789
177,0.7681
178,0.7691
179,0.7742
180,0.7762
181,0.7707
182,0.7889
183,0.78
184,0.7754
185,0.7879
186,0.7865
187,0.787
188,0.7873
189,0.7819
190,0.7868
191,0.796
192,0.7764
193,0.7896
194,0.7855
195,0.7743
196,0.7865
197,0.7881
198,0.7858
199,0.775
200,0.7891
201,0.7898
202,0.7896
203,0.7757
204,0.7876
205,0.7929
206,0.7715
207,0.7872
208,0.7807
209,0.7907
210,0.7896
211,0.7931
212,0.7976
213,0.7925
214,0.7967
215,0.7893
216,0.7829
217,0.7851
218,0.791
219,0.7901
220,0.7903
221,0.7948
222,0.7895
223,0.7942
224,0.7933
225,0.7871
226,0.794
227,0.7937
228,0.7942
229,0.792
230,0.7887
231,0.7948
232,0.7844
233,0.7917
234,0.7915
235,0.792
236,0.7951
237,0.7923
238,0.7906
239,0.7983
240,0.7952
241,0.793
242,0.7914
243,0.793
244,0.7911
245,0.7946
246,0.7944
247,0.7954
248,0.7923
249,0.7958
250,0.7968
251,0.7969
252,0.7961
253,0.7944
254,0.7987
255,0.7969
256,0.7936
257,0.7916
258,0.7953
259,0.7941
260,0.7965
261,0.7986
262,0.8014
263,0.8
264,0.8003
265,0.7947
266,0.7973
267,0.8001
268,0.7973
269,0.7986
270,0.7995
271,0.7961
272,0.7984
273,0.7962
274,0.798
275,0.7964
276,0.7964
277,0.7972
278,0.7982
279,0.7968
280,0.8002
281,0.799
282,0.8005
283,0.8001
284,0.8007
285,0.7985
286,0.8003
287,0.7981
288,0.7997
289,0.7988
290,0.8006
291,0.799
292,0.8009
293,0.8008
294,0.8004
295,0.801
296,0.7998
297,0.7986
298,0.8013
299,0.7992
300,0.7992
