,acc
1,0.1004
2,0.1631
3,0.3055
4,0.2819
5,0.3409
6,0.3692
7,0.3339
8,0.4382
9,0.391
10,0.4294
11,0.4802
12,0.4271
13,0.523
14,0.4963
15,0.512
16,0.5845
17,0.4352
18,0.5152
19,0.5726
20,0.4875
21,0.5986
22,0.5117
23,0.6031
24,0.5768
25,0.5996
26,0.654
27,0.6153
28,0.614
29,0.5428
30,0.6305
31,0.6107
32,0.6242
33,0.6359
34,0.6573
35,0.6666
36,0.6397
37,0.6778
38,0.675
39,0.6799
40,0.5895
41,0.6441
42,0.6431
43,0.6636
44,0.577
45,0.6527
46,0.6808
47,0.6966
48,0.6418
49,0.6264
50,0.7121
51,0.7304
52,0.6888
53,0.6578
54,0.6138
55,0.7127
56,0.7075
57,0.7388
58,0.7371
59,0.694
60,0.7035
61,0.695
62,0.7592
63,0.7527
64,0.7484
65,0.6912
66,0.7237
67,0.7167
68,0.6731
69,0.7297
70,0.7164
71,0.7319
72,0.7654
73,0.7487
74,0.7323
75,0.7385
76,0.7282
77,0.7279
78,0.7129
79,0.7256
80,0.7272
81,0.7674
82,0.731
83,0.6909
84,0.6913
85,0.7457
86,0.7437
87,0.7196
88,0.7458
89,0.7178
90,0.7445
91,0.5322
92,0.7231
93,0.581
94,0.6699
95,0.7553
96,0.6669
97,0.5984
98,0.6602
99,0.5971
100,0.5443
101,0.7381
102,0.6739
103,0.6931
104,0.6282
105,0.6593
106,0.7223
107,0.6954
108,0.7517
109,0.5046
110,0.6764
111,0.6454
112,0.7398
113,0.6552
114,0.7324
115,0.6408
116,0.7214
117,0.6747
118,0.6762
119,0.7047
120,0.6855
121,0.6648
122,0.6654
123,0.6584
124,0.7516
125,0.6898
126,0.6684
127,0.7619
128,0.7532
129,0.6642
130,0.6252
131,0.7812
132,0.7853
133,0.746
134,0.662
135,0.6877
136,0.7432
137,0.7288
138,0.7382
139,0.781
140,0.6881
141,0.7823
142,0.7289
143,0.7595
144,0.746
145,0.7772
146,0.7199
147,0.766
148,0.7755
149,0.7808
150,0.7129
151,0.7495
152,0.725
153,0.6871
154,0.7326
155,0.7164
156,0.777
157,0.7565
158,0.7623
159,0.7263
160,0.7736
161,0.7111
162,0.7729
163,0.7816
164,0.8013
165,0.7878
166,0.7634
167,0.7779
168,0.7525
169,0.7933
170,0.771
171,0.776
172,0.7688
173,0.7725
174,0.7727
175,0.783
176,0.787
177,0.7737
178,0.7666
179,0.7987
180,0.7907
181,0.7319
182,0.7698
183,0.7694
184,0.759
185,0.783
186,0.7951
187,0.8081
188,0.7832
189,0.8064
190,0.7929
191,0.7358
192,0.7989
193,0.8188
194,0.7892
195,0.8106
196,0.7813
197,0.7347
198,0.7961
199,0.7932
200,0.8094
201,0.8007
202,0.8019
203,0.7712
204,0.7888
205,0.7767
206,0.7896
207,0.7949
208,0.7859
209,0.7945
210,0.8107
211,0.8148
212,0.7624
213,0.7991
214,0.8055
215,0.7956
216,0.7981
217,0.7989
218,0.8036
219,0.7854
220,0.8048
221,0.7659
222,0.7949
223,0.8217
224,0.7944
225,0.8117
226,0.8028
227,0.8116
228,0.7885
229,0.79
230,0.8002
231,0.793
232,0.7941
233,0.8124
234,0.819
235,0.7616
236,0.8189
237,0.7869
238,0.8101
239,0.8133
240,0.8016
241,0.809
242,0.7877
243,0.816
244,0.8065
245,0.8225
246,0.8165
247,0.7932
248,0.8195
249,0.8193
250,0.8231
251,0.8043
252,0.796
253,0.8142
254,0.8068
255,0.8069
256,0.8173
257,0.812
258,0.8111
259,0.8031
260,0.8089
261,0.8128
262,0.807
263,0.8101
264,0.8081
265,0.8139
266,0.819
267,0.8088
268,0.8157
269,0.8185
270,0.8158
271,0.8135
272,0.8199
273,0.8231
274,0.8138
275,0.8195
276,0.8216
277,0.8169
278,0.8161
279,0.8227
280,0.815
281,0.8168
282,0.8226
283,0.8208
284,0.8216
285,0.8131
286,0.8136
287,0.8198
288,0.8202
289,0.8214
290,0.8181
291,0.8182
292,0.8179
293,0.8186
294,0.8162
295,0.8165
296,0.8212
297,0.8177
298,0.82
299,0.8216
300,0.8207
