loss,L_sup,L_A,L_B,L_proto,n_batches,cnt_u,cnt_a,cnt_b,cnt_c,hce_all,hce_hc,hce_den_hc,a_correct,a_total,lr,round,acc,phase
2.1325458834568662,1.8497911382052634,0.28275474584661425,0.0,2.1184310297171276,45.0,23040.0,1697.75,0.0,21342.25,18131.875,1094.625,1697.75,603.125,1697.75,0.09999725846827562,1,0.1,1
1.9217690345313814,1.6654239580035208,0.2563450730185852,0.0,2.271308406856325,45.0,23040.0,1613.0,0.0,21427.0,17682.875,935.125,1613.0,677.875,1613.0,0.09998903417374227,2,0.1453,1
1.6597367679079373,1.4027264402972326,0.25701033003473034,0.0,2.2599858635001713,45.0,23040.0,1639.125,0.0,21400.875,16534.875,838.125,1639.125,801.0,1639.125,0.09997532801828658,3,0.2717,1
1.5869717442327076,1.317387135989136,0.2695846051184667,0.0,2.1516082541810144,45.0,23040.0,1803.875,0.0,21236.125,16122.5,872.375,1803.875,931.5,1803.875,0.09995614150494292,4,0.2633,1
1.6376442617840234,1.3356131566895377,0.30203110355909707,0.0,2.263944653007719,45.0,23040.0,1615.875,0.0,21424.125,16832.125,863.375,1615.875,752.5,1615.875,0.0999314767377287,5,0.2963,1
1.484855420390765,1.2135487960444555,0.2713066234563788,0.0,2.185353043344286,45.0,23040.0,2196.75,0.0,20843.25,15632.125,879.375,2196.75,1317.375,2196.75,0.09990133642141358,6,0.3561,1
1.4051071324282223,1.1310211193230417,0.27408601484364936,0.0,2.2388206819693246,45.0,23040.0,2379.125,0.0,20660.875,15454.25,970.625,2379.125,1408.5,2379.125,0.09986572386122292,7,0.3534,1
1.3783744123246935,1.0626283646457726,0.3157460481756263,0.0,2.1968204584386615,45.0,23040.0,2456.125,0.0,20583.875,16281.25,1303.375,2456.125,1152.75,2456.125,0.09982464296247523,8,0.3961,1
1.2704034636418025,0.9564495273762279,0.31395393433049323,0.0,2.220580103000005,45.0,23040.0,2995.0,0.0,20045.0,14486.75,1015.0,2995.0,1980.0,2995.0,0.09977809823015402,9,0.3748,1
1.1743553034133383,0.8325352072715759,0.3418200992047787,0.0,2.1762913015153673,45.0,23040.0,3480.75,0.0,19559.25,14493.25,1379.625,3480.75,2101.125,3480.75,0.09972609476841367,10,0.3994,1
1.1058150137464207,0.7715561516582966,0.33425886119819354,0.0,2.1363793320126003,45.0,23040.0,4048.125,0.0,18991.875,14163.0,1495.75,4048.125,2552.375,4048.125,0.09966863828001982,11,0.419,1
1.0272035168276892,0.6793868728395966,0.34781664527124834,0.0,2.199557869964176,45.0,23040.0,4397.25,0.0,18642.75,15091.0,2040.125,4397.25,2357.125,4397.25,0.0996057350657239,12,0.4588,1
0.9872231246696579,0.629025839186377,0.35819728701478903,0.0,2.106264590885904,45.0,23040.0,4987.75,0.0,18052.25,13467.75,1595.5,4987.75,3392.25,4987.75,0.09953739202357217,13,0.3787,1
1.0287229574388925,0.666448728616039,0.362274230726891,0.0,2.0400518185562557,45.0,23040.0,5030.375,0.0,18009.625,13753.125,1843.375,5030.375,3187.0,5030.375,0.09946361664814941,14,0.4316,1
0.957336564030912,0.5722282444437344,0.3851083190076881,0.0,2.1120680107010736,45.0,23040.0,5400.0,0.0,17640.0,14046.125,2123.625,5400.0,3276.375,5400.0,0.09938441702975688,15,0.4148,1
0.9340111718409589,0.5554889690130949,0.3785222035729223,0.0,2.1342121438847648,45.0,23040.0,6020.875,0.0,17019.125,13331.125,2142.125,6020.875,3878.75,6020.875,0.09929980185352526,16,0.4981,1
0.884571517755588,0.4754657465136713,0.40910577086938754,0.0,2.0520831952492395,45.0,23040.0,6214.625,0.0,16825.375,13114.0,2146.875,6214.625,4067.75,6214.625,0.09920978039846208,17,0.5242,1
0.829394423464934,0.44533584430399864,0.3840585800094737,0.0,2.1019903643263707,45.0,23040.0,6911.875,0.0,16128.125,12309.375,2113.875,6911.875,4798.0,6911.875,0.09911436253643445,18,0.4238,1
0.8361508048242993,0.4402044631540775,0.3959463412149085,0.0,2.0641298496060903,45.0,23040.0,6937.375,0.0,16102.625,12593.625,2261.125,6937.375,4676.25,6937.375,0.0990135587310861,19,0.5133,1
0.7683161888685491,0.3505657291660706,0.41775045870906774,0.0,2.0594628522793452,45.0,23040.0,7467.875,0.0,15572.125,12443.25,2495.5,7467.875,4972.375,7467.875,0.09890738003669029,20,0.5041,1
0.7309992407759031,0.32852241328607007,0.4024768284211556,0.0,2.0909404436747234,45.0,23040.0,8421.0,0.0,14619.0,11350.0,2480.0,8421.0,5941.0,8421.0,0.09879583809693737,21,0.5207,1
0.7195164231790437,0.289285668068462,0.4302307557728555,0.0,2.07985834048854,45.0,23040.0,8420.75,0.0,14619.25,11795.625,2725.0,8420.75,5695.75,8420.75,0.09867894514365803,22,0.4972,1
0.7524232458737161,0.3326415809906191,0.41978166401386263,0.0,2.0674091706673305,45.0,23040.0,8176.125,0.0,14863.875,11801.25,2431.375,8176.125,5744.75,8176.125,0.09855671399548181,23,0.5319,1
0.676277385900418,0.26147697220245997,0.4148004120008813,0.0,2.086423310637474,45.0,23040.0,8780.125,0.0,14259.875,12043.375,3031.5,8780.125,5748.625,8780.125,0.09842915805643157,24,0.548,1
0.6903576146397326,0.26987332696509025,0.42048428737454946,0.0,2.149538960721758,45.0,23040.0,8723.875,0.0,14316.125,12818.5,3384.125,8723.875,5339.75,8723.875,0.0982962913144534,25,0.4946,1
0.6601278978917333,0.23776922856147092,0.4223586677677102,0.0,2.0975631558232832,45.0,23040.0,9220.625,0.0,13819.375,12283.375,3291.25,9220.625,5929.375,9220.625,0.09815812833988291,26,0.5264,1
0.6404544114238686,0.22637693219714694,0.4140774796820349,0.0,2.073321893811226,45.0,23040.0,9498.75,0.0,13541.25,12042.875,3227.75,9498.75,6271.0,9498.75,0.09801468428384717,27,0.5438,1
0.6301398911409908,0.22871942128986117,0.40142046854727803,0.0,2.0839546544684304,45.0,23040.0,9984.5,0.0,13055.5,11493.75,3167.875,9984.5,6816.625,9984.5,0.09786597487660337,28,0.4919,1
0.747885503537125,0.325495358546161,0.422390144235558,0.0,2.1188857111665937,45.0,23040.0,9049.375,0.0,13990.625,11895.125,2954.375,9049.375,6095.0,9049.375,0.09771201642581384,29,0.4947,1
0.6688638272384801,0.26019449116041266,0.40866933576762676,0.0,2.024871556957563,45.0,23040.0,9333.75,0.0,13706.25,12213.75,3184.0,9333.75,6149.75,9333.75,0.09755282581475767,30,0.5145,1
0.6766387653019693,0.27553301094513805,0.4011057556917271,0.0,2.063067951136165,45.0,23040.0,9555.5,0.0,13484.5,11126.5,2797.75,9555.5,6757.75,9555.5,0.0973884205004793,31,0.5461,1
0.6136116777857146,0.2098281796090305,0.40378349717292517,0.0,2.0054568005932705,45.0,23040.0,10162.625,0.0,12877.375,10614.875,2717.75,10162.625,7444.875,10162.625,0.09721881851187407,32,0.4913,1
0.6251207485795021,0.21164781828410922,0.4134729294727246,0.0,2.006238762868775,45.0,23040.0,9840.0,0.0,13200.0,11638.375,3151.5,9840.0,6688.5,9840.0,0.09704403844771127,33,0.578,1
0.608275744650099,0.2006428342829976,0.4076329115364287,0.0,2.049755999777052,45.0,23040.0,10172.375,0.0,12867.625,10532.375,2617.75,10172.375,7554.625,10172.375,0.0968640994745946,34,0.5887,1
0.5569169277946153,0.1690431024077245,0.38787382447885144,0.0,2.096132490701146,45.0,23040.0,10686.875,0.0,12353.125,10532.25,2831.625,10686.875,7855.25,10686.875,0.09667902132486007,35,0.5954,1
0.5551665138867166,0.14569293692087135,0.40947357854909366,0.0,1.9888818873299494,45.0,23040.0,10750.0,0.0,12290.0,10220.75,2884.75,10750.0,7865.25,10750.0,0.09648882429441258,36,0.6148,1
0.5422696474525663,0.13995632619286574,0.4023133202145497,0.0,1.9754171821806166,45.0,23040.0,10923.5,0.0,12116.5,9977.875,2733.625,10923.5,8189.875,10923.5,0.09629352924049973,37,0.6396,1
0.5377755937476953,0.12849420886486768,0.40928138448960255,0.0,2.0631885528564453,45.0,23040.0,11026.125,0.0,12013.875,10919.5,3330.0,11026.125,7696.125,11026.125,0.09609315757942503,38,0.6084,1
0.5438391478525267,0.13936365434848186,0.40447549401885935,0.0,2.073282958732711,45.0,23040.0,11149.625,0.0,11890.375,10740.125,3273.125,11149.625,7876.5,11149.625,0.09588773128419904,39,0.5834,1
0.5513732456498676,0.13448448961911103,0.4168887544423342,0.0,2.14651856455538,45.0,23040.0,11207.125,0.0,11832.875,11341.0,3746.625,11207.125,7460.5,11207.125,0.09567727288213003,40,0.5642,1
0.536299158549971,0.14647079387990136,0.3898283643027146,0.0,2.0709836754533977,45.0,23040.0,11585.25,0.0,11454.75,11611.125,4095.625,11585.25,7489.625,11585.25,0.09546180545235344,41,0.5252,1
0.570914162364271,0.18584732564631848,0.3850668366998434,0.0,2.052872230940395,45.0,23040.0,11429.75,0.0,11610.25,10127.5,3019.75,11429.75,8410.0,11429.75,0.095241352623301,42,0.6503,1
0.5348417904641893,0.12356770435451633,0.41127408622867534,0.0,2.055824347337087,45.0,23040.0,11072.125,0.0,11967.875,9947.125,2838.625,11072.125,8233.5,11072.125,0.09501593857010969,43,0.6214,1
