,acc
23,0.5842
24,0.5562
25,0.5923
26,0.6336
27,0.5975
28,0.5983
29,0.525
30,0.6004
31,0.5739
32,0.6198
33,0.6407
34,0.59
35,0.6187
36,0.6274
37,0.6595
38,0.6687
39,0.6677
40,0.5788
41,0.6347
42,0.6331
43,0.6345
44,0.5781
45,0.6425
46,0.6395
47,0.6907
48,0.5959
49,0.6269
50,0.707
51,0.7073
52,0.6855
53,0.6592
54,0.5902
55,0.6982
56,0.6854
57,0.7006
58,0.7117
59,0.6589
60,0.6741
61,0.6577
62,0.746
63,0.7293
64,0.7186
65,0.6767
66,0.6957
67,0.6904
68,0.61
69,0.6773
70,0.6646
71,0.7267
72,0.7527
73,0.7175
74,0.7146
75,0.7204
76,0.7279
77,0.7047
78,0.6655
79,0.7309
80,0.7019
81,0.7361
82,0.7188
83,0.6291
84,0.7021
85,0.7305
86,0.7064
87,0.7017
88,0.7253
89,0.7235
90,0.6976
91,0.7055
92,0.7548
93,0.668
94,0.7088
95,0.7613
96,0.7536
97,0.691
98,0.7349
99,0.7426
100,0.7762
101,0.7362
102,0.7439
103,0.724
104,0.6931
105,0.7424
106,0.7751
107,0.7058
108,0.7859
109,0.7199
110,0.7215
111,0.7371
112,0.75
113,0.7098
114,0.7744
115,0.7615
116,0.7443
117,0.7115
118,0.7383
119,0.6638
120,0.738
121,0.7435
122,0.7984
123,0.6785
124,0.7621
125,0.727
126,0.7711
127,0.76
128,0.7591
129,0.7643
130,0.7134
131,0.7463
132,0.7643
133,0.7466
134,0.6356
135,0.7535
136,0.8001
137,0.7558
138,0.7616
139,0.7958
140,0.6593
141,0.7816
142,0.7827
143,0.7063
144,0.776
145,0.7446
146,0.7128
147,0.7679
148,0.7886
149,0.8102
150,0.8018
151,0.7994
152,0.7965
153,0.7732
154,0.6913
155,0.7552
156,0.7651
157,0.7137
158,0.7635
159,0.7437
160,0.697
161,0.6838
162,0.7926
163,0.7655
164,0.7851
165,0.7861
166,0.7465
167,0.7898
168,0.7644
169,0.775
170,0.768
171,0.7813
172,0.7354
173,0.7376
174,0.7031
175,0.794
176,0.7527
177,0.7198
178,0.7665
179,0.7665
180,0.7499
181,0.7568
182,0.729
183,0.7183
184,0.8
185,0.7234
186,0.7877
187,0.8055
188,0.7247
189,0.7964
190,0.7834
191,0.6354
192,0.7869
193,0.8022
194,0.7132
195,0.7954
196,0.7575
197,0.7188
198,0.7493
199,0.7574
200,0.7671
201,0.7808
202,0.7431
203,0.7938
204,0.7449
205,0.7463
206,0.7792
207,0.7854
208,0.7891
209,0.7389
210,0.766
211,0.7927
212,0.7519
213,0.7491
214,0.7734
215,0.7508
216,0.7476
217,0.7545
218,0.6762
219,0.7493
220,0.7374
221,0.7776
222,0.809
223,0.8194
224,0.7434
225,0.7719
226,0.7718
227,0.789
228,0.6736
229,0.792
230,0.7594
231,0.75
232,0.7284
233,0.7984
234,0.8157
235,0.7526
236,0.8147
237,0.7588
238,0.7789
239,0.7278
240,0.809
241,0.7608
242,0.7984
243,0.7898
244,0.739
245,0.8108
246,0.7917
247,0.7813
248,0.8177
249,0.8071
250,0.7605
251,0.7327
252,0.7893
253,0.7659
254,0.7119
255,0.8008
256,0.7764
257,0.7416
258,0.7934
259,0.7501
260,0.8056
261,0.7472
262,0.8223
263,0.7359
264,0.723
265,0.7828
266,0.7929
267,0.792
268,0.7798
269,0.7448
270,0.8011
271,0.7747
272,0.7726
273,0.7301
274,0.7702
275,0.7835
276,0.8027
277,0.7443
278,0.718
279,0.7352
280,0.8248
281,0.7003
282,0.7856
283,0.7919
284,0.7266
285,0.7654
286,0.7189
287,0.7855
288,0.8089
289,0.7594
290,0.8071
291,0.6924
292,0.8071
293,0.7881
294,0.7691
295,0.7987
296,0.8172
297,0.7195
298,0.7187
299,0.7946
300,0.7307
