loss,L_sup,L_A,L_B,L_proto,n_batches,cnt_u,cnt_a,cnt_b,cnt_c,hce_all,hce_hc,hce_den_hc,a_correct,a_total,round,acc,phase
0.7074463923510752,0.1419606187564664,0.39869039346905133,0.0,1.6679537799797561,95.0,24320.0,12224.625,0.0,12095.375,11477.875,3735.125,12224.625,8489.5,12224.625,29,0.5651,1
0.6473686069642242,0.10799233919671297,0.3837076765534125,0.0,1.5566858610040264,95.0,24320.0,12469.625,0.0,11850.375,11748.625,3986.25,12469.625,8483.375,12469.625,30,0.5821,1
0.6646086335966461,0.12004517556388715,0.38635462208798055,0.0,1.5820883205062466,95.0,24320.0,12859.0,0.0,11461.0,10465.75,3404.5,12859.0,9454.5,12859.0,31,0.6212,1
0.6172180040494392,0.09415784324458065,0.3699486936197469,0.0,1.5311146270287666,95.0,24320.0,13331.5,0.0,10988.5,9960.375,3278.75,13331.5,10052.75,13331.5,32,0.5982,1
0.6149854578862064,0.08828709672977167,0.37784605147807226,0.0,1.488523057103157,95.0,24320.0,13193.625,0.0,11126.375,11057.875,3949.625,13193.625,9244.0,13193.625,33,0.6466,1
0.6175428632058595,0.09100264988465873,0.37493518218398086,0.0,1.5160502593768272,95.0,24320.0,13218.375,0.0,11101.625,10058.625,3192.75,13218.375,10025.625,13218.375,34,0.6659,1
0.5899661934297336,0.07513604740410014,0.36751286559983304,0.0,1.4731727565589703,95.0,24320.0,13583.375,0.0,10736.625,9829.0,3210.75,13583.375,10372.625,13583.375,35,0.6698,1
0.576030980874049,0.06656149868442873,0.37000579845748455,0.0,1.394636798218677,95.0,24320.0,13850.0,0.0,10470.0,9603.75,3410.625,13850.0,10439.375,13850.0,36,0.6795,1
0.5809113884442731,0.06883107442531342,0.3680749056566702,0.0,1.4400540573032279,95.0,24320.0,13904.0,0.0,10416.0,9582.5,3324.5,13904.0,10579.5,13904.0,37,0.7056,1
0.579758043195072,0.06719275863632854,0.3665318486133688,0.0,1.4603343218564988,95.0,24320.0,13693.875,0.0,10626.125,10455.5,3842.625,13693.875,9851.25,13693.875,38,0.6839,1
0.584104379031219,0.06732096432303813,0.3705254501418063,0.0,1.462579600905117,95.0,24320.0,13731.5,0.0,10588.5,10191.625,3702.25,13731.5,10029.25,13731.5,39,0.6752,1
0.5825996545976715,0.06327836567805589,0.3717775625813948,0.0,1.4754372206173443,95.0,24320.0,13789.125,0.0,10530.875,10818.0,4144.875,13789.125,9644.25,13789.125,40,0.6333,1
0.5710374822349925,0.0729268290151499,0.359089100204016,0.0,1.3902154989932713,95.0,24320.0,14093.25,0.0,10226.75,11354.375,4637.25,14093.25,9456.0,14093.25,41,0.594,1
0.5617407657206059,0.080359408934907,0.34414370938351285,0.0,1.3723764358382478,95.0,24320.0,14347.5,0.0,9972.5,9461.25,3399.375,14347.5,10948.125,14347.5,42,0.7162,1
0.5651366565572588,0.05975554839732419,0.36591999017094307,0.0,1.3946111459481088,95.0,24320.0,14019.625,0.0,10300.375,9375.0,3287.5,14019.625,10732.125,14019.625,43,0.7009,1
0.5660314373279873,0.06451827559932626,0.3666769311616295,0.0,1.3483622714092858,95.0,24320.0,13942.5,0.0,10377.5,10280.0,3785.125,13942.5,10157.375,13942.5,44,0.6958,1
0.5502346961906082,0.06187957718472095,0.3558985308596962,0.0,1.3245658524726567,95.0,24320.0,14004.125,0.0,10315.875,9778.0,3365.125,14004.125,10639.0,14004.125,45,0.6664,1
0.5431708857417107,0.059511052341335205,0.35121221226689064,0.0,1.3244761722652538,95.0,24320.0,14183.5,0.0,10136.5,9820.75,3630.0,14183.5,10553.5,14183.5,46,0.6897,1
0.542157677247336,0.05732661004049556,0.35696253754982815,0.0,1.2786852731516487,95.0,24320.0,14131.0,0.0,10189.0,10079.375,3857.75,14131.0,10273.25,14131.0,47,0.6773,1
0.5350607061856671,0.05234640669383991,0.3557645888116799,0.0,1.2694970686184732,95.0,24320.0,14198.125,0.0,10121.875,10279.375,3941.5,14198.125,10256.625,14198.125,48,0.6554,1
0.5330899425243077,0.06675824705621619,0.3374484863132239,0.0,1.2888320626396883,95.0,24320.0,14670.625,0.0,9649.375,10299.125,4253.75,14670.625,10416.875,14670.625,49,0.6849,1
0.5059809735338938,0.04808037408174163,0.33561251294848166,0.0,1.2228808421837656,95.0,24320.0,14912.625,0.0,9407.375,8352.375,2987.625,14912.625,11925.0,14912.625,50,0.7212,1
0.5287435330842671,0.05281392364199029,0.34850511876376056,0.0,1.2742448927540528,95.0,24320.0,14608.75,0.0,9711.25,9271.375,3617.0,14608.75,10991.75,14608.75,51,0.7419,1
0.506662410066316,0.04359731420531477,0.3401068486077221,0.0,1.2295824408531189,95.0,24320.0,14927.75,0.0,9392.25,9208.375,3603.25,14927.75,11324.5,14927.75,52,0.7146,1
0.49697367784224056,0.04755861125089914,0.32818288803100587,0.0,1.2123217460356261,95.0,24320.0,15433.25,0.0,8886.75,8767.75,3489.125,15433.25,11944.125,15433.25,53,0.689,1
0.5167880356311798,0.04564956168622685,0.35294236903520004,0.0,1.1819610352578918,95.0,24320.0,14504.5,0.0,9815.5,9795.75,3723.0,14504.5,10781.5,14504.5,54,0.7382,1
0.49022743047067996,0.0386458769118977,0.3352815128274654,0.0,1.163000386090655,95.0,24320.0,14986.875,0.0,9333.125,9068.625,3455.25,14986.875,11531.625,14986.875,55,0.7043,1
0.49220741257855766,0.05283860508720145,0.321669197366818,0.0,1.1769960794009662,95.0,24320.0,15469.5,0.0,8850.5,8874.75,3625.125,15469.5,11844.375,15469.5,56,0.7028,1
0.4933224958024527,0.04242020719562118,0.3348879604747421,0.0,1.1601432435606658,95.0,24320.0,15291.25,0.0,9028.75,9077.125,3777.125,15291.25,11514.125,15291.25,57,0.7419,1
0.47881816425605817,0.035240572287033214,0.32930583059787755,0.0,1.142717597359105,95.0,24320.0,15434.375,0.0,8885.625,8180.75,2955.875,15434.375,12478.5,15434.375,58,0.74,1
