loss,L_sup,L_A,L_B,L_proto,n_batches,cnt_u,cnt_a,cnt_b,cnt_c,hce_all,hce_hc,hce_den_hc,a_correct,a_total,b_correct,b_total,lr,gate,aux_scale,tau0,delta0,eta_B,tau_warmup,a_ratio_cap,use_a_for_proto,lambda_A_scale,round,acc,phase
1.996891571659791,1.745450515260822,0.2514410534614734,0.0,2.0766662352963494,95.0,24320.0,1463.375,0.0,22856.625,18445.875,907.5,1472.625,555.875,1463.375,0.0,0.0,0.09999725846827562,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,1,0.1109,1
1.762265592342929,1.5095789772115256,0.2526866156218794,0.0,2.229901644430662,95.0,24320.0,1372.5,0.0,22947.5,18832.375,902.75,1372.5,469.75,1372.5,0.0,0.0,0.09998903417374227,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,2,0.1622,1
1.5316566195927166,1.2770423722894568,0.25461424674324107,0.0,2.2305357280530425,95.0,24320.0,1913.375,0.0,22406.625,18035.125,1200.75,1913.375,712.625,1913.375,0.0,0.0,0.09997532801828658,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,3,0.3161,1
1.3752586454937334,1.0921692667038818,0.2830893793768298,0.0,2.0895971662119814,95.0,24320.0,2788.375,0.0,21531.625,17281.625,1561.5,2788.375,1226.875,2788.375,0.0,0.0,0.09995614150494292,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,4,0.3009,1
1.4350549570823972,1.10865254351183,0.3264024138904029,0.0,2.2150992882879157,95.0,24320.0,2798.5,0.0,21521.5,16343.75,1326.25,2799.625,1472.25,2798.5,0.0,0.0,0.0999314767377287,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,5,0.3042,1
1.2864477421892317,0.9423360761058958,0.3441116662904326,0.0,2.1363020870246388,95.0,24320.0,3100.125,0.0,21219.875,16404.875,1656.0,3100.125,1444.125,3100.125,0.0,0.0,0.09990133642141358,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,6,0.3488,1
1.2782425506726691,0.9239589775471311,0.35428357416959977,0.0,2.2143953980583895,95.0,24320.0,3468.125,0.0,20851.875,17259.625,1860.0,3468.125,1608.125,3468.125,0.0,0.0,0.09986572386122292,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,7,0.3473,1
1.1456221906762374,0.7760578864107006,0.36956430419201125,0.0,2.1389723261720253,95.0,24320.0,4013.25,0.0,20306.75,14559.25,1439.75,4013.25,2573.5,4013.25,0.0,0.0,0.09982464296247523,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,8,0.4701,1
1.0237730174864594,0.6444767964709747,0.37929622018219605,0.0,2.153464907094052,95.0,24320.0,5251.375,0.0,19068.625,15981.125,2609.125,5257.375,2642.25,5251.375,0.0,0.0,0.09977809823015402,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,9,0.3649,1
0.9258383320350396,0.5283754003773394,0.3974629320596394,0.0,2.0507132837646886,95.0,24320.0,6300.0,0.0,18020.0,15517.25,2933.25,6345.875,3366.75,6300.0,0.0,0.0,0.09972609476841367,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,10,0.4382,1
0.9034094553636879,0.49315081171103214,0.41025864570156517,0.0,2.042775309713263,95.0,24320.0,6317.0,0.0,18003.0,16853.5,3479.125,6330.25,2837.875,6317.0,0.0,0.0,0.09966863828001982,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,11,0.4465,1
0.8137430599645564,0.40399923537318644,0.40974382570405543,0.0,2.1178434445669776,95.0,24320.0,7128.375,0.0,17191.625,13345.75,2455.875,7220.125,4672.5,7128.375,0.0,0.0,0.0996057350657239,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,12,0.4185,1
0.7898898628589353,0.3744324969225808,0.41545736452466564,0.0,1.9973438032363589,95.0,24320.0,7454.125,0.0,16865.875,16116.875,3821.125,7520.875,3633.0,7454.125,0.0,0.0,0.09953739202357217,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,13,0.5159,1
0.7544757900269409,0.32603747946651357,0.42843831195250937,0.0,1.969744432443067,95.0,24320.0,7757.875,0.0,16562.125,15684.25,4089.125,7955.875,3668.75,7757.875,0.0,0.0,0.09946361664814941,0.0,0.0,0.92,0.09999999999999999,0.6,0.9500000000000001,0.39999999999999997,1.0,1.0,14,0.5247,1
