round,phase,gate,lr,acc,delta_acc,params_global_norm,params_global_relative,params_local_mean_norm,params_local_rms_norm,params_disagreement_rms,params_disagreement_relative,params_retained_ratio,bn_mean_global_norm,bn_mean_global_relative,bn_mean_local_mean_norm,bn_mean_local_rms_norm,bn_mean_disagreement_rms,bn_mean_disagreement_relative,bn_mean_retained_ratio,bn_var_global_norm,bn_var_global_relative,bn_var_local_mean_norm,bn_var_local_rms_norm,bn_var_disagreement_rms,bn_var_disagreement_relative,bn_var_retained_ratio
1,1,0.0,0.14999851956421026,0.1,nan,7.329669124912247,0.1308286945892295,14.715466501350235,14.73271894738175,12.780021808631767,0.8674584680720452,0.4980928823588232,32.35002957580299,nan,46.08202115424288,46.24688426330622,33.049203266539934,0.7146255103019393,0.7020097809408788,148.9683753298607,4.514939644100285,194.22666168273867,224.10323372613274,167.42365921617198,0.747082745895463,0.7669821127502797
2,1,0.0,0.14999407831528622,0.2336,0.1336,6.3151363210179765,0.11339282717363665,12.206334063440217,12.224982957546418,10.467533623832837,0.856241162886144,0.5173655159850776,13.781166496211153,0.42600166605470796,26.9978094220023,27.16615026160294,23.41109055385145,0.8617743157719719,0.5104549884325048,85.79080471992543,0.48698953867963624,103.1263487383249,103.48098731339371,57.86408867174619,0.5591760397154304,0.8318999534989157
3,1,0.0,0.14998667642856067,0.3538,0.1202,6.146323740293075,0.11022475361610298,11.933158268443124,11.955909872365313,10.255071126224284,0.8577407521219009,0.5150626181290867,16.14575066791304,0.4584101687292959,28.498943858575856,28.80226166534452,23.851310213251235,0.8281054623550492,0.5665385618511082,48.6640585752193,0.4031658569122478,71.29165093734778,74.41185405082577,56.293279332732816,0.7565095649180121,0.6826052971895129
4,1,0.0,0.1499763141962475,0.3148,-0.03899999999999998,6.1218395680748054,0.1094271826868608,11.56145661625877,11.578526414909113,9.82778474477571,0.8487940859314311,0.5295041767890837,14.103502663211298,0.36499091056049005,25.079920463560104,25.19256115145558,20.874777575109302,0.8286087885075233,0.5623423999172166,42.38624472819052,0.31694379059207767,61.66153543321377,62.80935680408019,46.35106820712882,0.7379643824678966,0.6874017072458322
5,1,0.0,0.14996299202742988,0.2767,-0.03810000000000002,6.156339101405568,0.1096654527538451,11.883361875958686,12.017910173991401,10.321320283818153,0.8588282100955514,0.518063757181417,15.916832829594428,0.39762172194398454,27.760781762410613,28.481177397132736,23.618464935526337,0.8292657500143958,0.5733567939771264,71.88134921718581,0.5708924239297206,103.63493107872851,123.14122605426245,99.98416314674097,0.8119471143050235,0.693601553732685
6,1,0.0,0.1499467104480442,0.4379,0.1612,5.5049493953422,0.09775492501490052,10.927920009978148,10.964831886876215,9.482777492929577,0.8648356482582732,0.5037508867484113,13.566035103324806,0.3261638559727333,22.329128610205352,22.55086724857791,18.01400311366106,0.7988164231154814,0.6075487915423873,76.34741884486816,0.46229476816512716,85.57532208123676,85.85007889904749,39.25949500738596,0.4573029577940381,0.8921663043510542
7,1,0.0,0.14992747010085936,0.3741,-0.06380000000000002,5.358442078113905,0.09478416166058315,10.789843777494106,10.892382655335537,9.483200775335831,0.8706268477164241,0.4966190603510647,11.385075150640128,0.28082881981001206,20.358608800536647,20.685213670815894,17.270151334800023,0.8349032120062616,0.5592265788976711,28.27180814003358,0.22636067034716303,38.45908857318033,39.02198660469612,26.896473574180778,0.6892645893877661,0.7351138362584362
8,1,0.0,0.14990527174545132,0.4835,0.1094,4.948330431558012,0.08729067349446443,10.59858670754752,10.641952170241609,9.421526985875435,0.8853194259058141,0.46688587526808467,10.452252317720545,0.2608132294803487,19.25209774103339,19.62420228037975,16.60902574001736,0.8463541856487609,0.5429149829965232,21.825520088009284,0.18512411713545024,35.45198514874201,37.550886685462395,30.556762928719543,0.8137427801551598,0.6156360496157928
9,1,0.0,0.14988011625817313,0.4048,-0.07869999999999999,4.538933513874839,0.07978581463336594,9.943770983115213,9.989346690234784,8.898602655781987,0.8908092722901421,0.456459980985289,8.44858258347952,0.2061658057497771,16.78408367540802,16.860851259121432,14.59142748347882,0.8654027758880268,0.5033687121006406,18.93658201493574,0.15796829645985905,29.021408978737696,29.21584221809217,22.247950827578702,0.761502977100604,0.6525038818345958
10,1,0.0,0.14985200463212037,0.4902,0.08540000000000003,3.879984028863881,0.06810486280868427,9.216589185289669,9.303004204154949,8.455271163016363,0.9088753457985145,0.4209782980298841,6.598291929141949,0.16342951623943988,14.418564311523667,14.590967928183627,13.013796105912196,0.8919076630121983,0.4576247528242762,13.975259438086315,0.12129463094140228,23.576566796362577,23.80686742064973,19.273273174606196,0.8095677954626168,0.5927605812497873
