round,phase,gate,lr,acc,delta_acc,client,fedavg_weight,params_update_norm,params_update_relative,params_distance_to_fused,params_cos_to_fused,bn_mean_update_norm,bn_mean_update_relative,bn_mean_distance_to_fused,bn_mean_cos_to_fused,bn_var_update_norm,bn_var_update_relative,bn_var_distance_to_fused,bn_var_cos_to_fused,local_steps,a_ratio,a_prec
226,3,1.0,0.02141454902753976,0.8473,-0.005499999999999949,9,0.125,1.882485636880295,0.04428902156077735,1.7637726816171553,0.35026251351052473,0.9542282610239632,0.06625946956880915,0.8786633046537689,0.39140045818007657,0.6857884059041608,0.035358110923838934,0.6226509698667625,0.4208404406838503,95,0.6980674342105263,0.8615185250633209
226,3,1.0,0.02141454902753976,0.8473,-0.005499999999999949,17,0.125,2.0921559374927092,0.049221910440539036,1.9041558017679465,0.4234202315893118,1.0153424468404215,0.0705031015180273,0.9285841229121132,0.4045069359980672,0.7281207177767578,0.037540694598289404,0.5906423552761627,0.6116962803703279,95,0.6650082236842105,0.8643418042416373
226,3,1.0,0.02141454902753976,0.8473,-0.005499999999999949,4,0.125,1.9894099068872644,0.04680461647790882,1.8330725655350673,0.3903341236196052,1.1098943383940354,0.0770685727338423,0.9823631989448651,0.47926927463348956,1.0296663832736261,0.053087888160396855,1.1164248978047302,-0.13443195476381697,95,0.6978207236842106,0.8747864003299747
226,3,1.0,0.02141454902753976,0.8473,-0.005499999999999949,0,0.125,1.9469193716602389,0.04580494657661949,1.8242642902665933,0.34951933634019244,1.3969488662809286,0.09700099512374344,1.2988567015018175,0.3786727212178048,1.876397476657286,0.09674393668027637,1.7306947013763714,0.5288282423717461,95,0.8264391447368421,0.9727349619384049
226,3,1.0,0.02141454902753976,0.8473,-0.005499999999999949,11,0.125,1.8132976132139558,0.042661242940918,1.694607408005353,0.3571534948096784,1.1263956139506197,0.07821438428674554,0.9884827652920842,0.4994791459050255,1.3514859336211422,0.06968036954486291,1.1931956276755409,0.5899169988931146,95,0.8153782894736842,0.961875945537065
226,3,1.0,0.02141454902753976,0.8473,-0.005499999999999949,12,0.125,1.9942431940375112,0.04691832866493058,1.8621258482914362,0.3579658313221246,1.0156374085802649,0.07052358299947509,0.9393721375474634,0.3806183257212279,0.7823702918118872,0.04033771251196522,0.6795124190708837,0.5064663512435555,95,0.7155427631578948,0.8149637972646823
226,3,1.0,0.02141454902753976,0.8473,-0.005499999999999949,10,0.125,1.8254728650498482,0.04294768868079698,1.7609052820484161,0.28277247748316475,1.0323765637236386,0.07168591237718579,1.0784509094323331,0.07979529125143872,0.9504649385689407,0.04900439324697027,0.9912619775804409,0.033165977067454236,95,0.7558388157894737,0.9403220541834403
226,3,1.0,0.02141454902753976,0.8473,-0.005499999999999949,1,0.125,2.0440672224741063,0.0480905328116406,1.9043134175409917,0.36396184899856354,1.336737716419758,0.09282006796523723,1.2872586746859793,0.2713924083865866,1.920533358153,0.09901950940826582,1.9932890725845838,-0.15360158489490072,95,0.6686266447368421,0.9252198511776644
227,3,1.0,0.02086798289262284,0.8495,0.0021999999999999797,15,0.125,2.2382322450435392,0.05270661942914682,2.063212444706529,0.39181595769700495,1.3965263283148421,0.09747229952298231,1.2733047605461165,0.43608071019269173,1.3316993198564657,0.06843265570320307,1.2694332894357516,0.3061848593800373,95,0.6027549342105263,0.7855242513131865
227,3,1.0,0.02086798289262284,0.8495,0.0021999999999999797,9,0.125,1.8215573028976362,0.04289462264017255,1.7823836709250036,0.2574369578925943,0.904030188467096,0.06309791625225776,0.888010272012297,0.2628862475742473,0.5590415037437945,0.028727727182156562,0.6731697847162781,-0.0614736986439534,95,0.7045641447368421,0.8489057484680479
227,3,1.0,0.02086798289262284,0.8495,0.0021999999999999797,4,0.125,1.8795854669235526,0.04426108868240696,1.8268653240819608,0.26873473868132625,0.940007882561945,0.06560902435230408,0.9830626701923011,0.10612690713779376,1.0730088294488542,0.05513920649902018,1.2425006799690566,-0.3749369084089389,95,0.6869243421052632,0.8860289716269604
227,3,1.0,0.02086798289262284,0.8495,0.0021999999999999797,3,0.125,2.17622811383916,0.05124652602120803,1.956547180578362,0.45050975039649316,1.172985257490721,0.08186997125370482,1.0234710286007145,0.5185758085968,0.9910814180978146,0.05092916429952077,0.826782344687511,0.6129591883268091,95,0.7142269736842105,0.8268854346574553
227,3,1.0,0.02086798289262284,0.8495,0.0021999999999999797,1,0.125,1.9687315819830662,0.04636033033636558,1.8452339413200958,0.3499566878035584,1.2893661408375618,0.08999292038136,1.1996877030528812,0.37087917324648256,1.721016827737172,0.0884386965404853,1.6578150996132288,0.28071620943580305,95,0.6732319078947369,0.9219446649972516
227,3,1.0,0.02086798289262284,0.8495,0.0021999999999999797,5,0.125,2.065751864600195,0.04864499544389995,1.8856139949646171,0.41127510362289715,1.085498085956731,0.07576369483393289,0.9270929230166922,0.5494378861779428,0.9574611887249044,0.049201505850624765,0.7539091503796655,0.7102935004358635,95,0.7254523026315789,0.8551266791362013
227,3,1.0,0.02086798289262284,0.8495,0.0021999999999999797,18,0.125,2.0208769590520967,0.04758826660180585,1.8641463621770984,0.3864436491963093,1.1652729748150168,0.08133168285073626,1.1098369699665784,0.3073339376833843,1.2825735002286864,0.0659082042368707,1.1513373262072222,0.4972821376030631,95,0.7822368421052631,0.9512195121951219
227,3,1.0,0.02086798289262284,0.8495,0.0021999999999999797,14,0.125,2.1465830395280308,0.05054843418863546,1.9755302582225724,0.3937086325937679,1.3514787189955162,0.09432814536037083,1.3379872180330175,0.18278270085738915,1.5314926378378415,0.07869952836533953,1.4891134077290926,0.2338506755432154,95,0.6844572368421052,0.8304697825303377
228,3,1.0,0.02032735294339415,0.8399,-0.009600000000000053,7,0.125,1.885947887910021,0.044453664217402974,1.7361349316378278,0.3906094960474025,1.1167988857204674,0.07811202347968504,0.9469488216028076,0.541952980446314,0.9366587676928385,0.048101725172971954,0.828324012539289,0.4687759282638482,95,0.7621710526315789,0.9175118687958567
228,3,1.0,0.02032735294339415,0.8399,-0.009600000000000053,12,0.125,1.9200234173183184,0.045256858278096425,1.7708328086446146,0.38648139665321696,1.0520637568746016,0.0735842683314458,0.8682519077212607,0.5777273959201663,0.6414272522078596,0.03294023231123482,0.5409208301729075,0.5432396588265072,95,0.6966694078947369,0.8404650888272442
228,3,1.0,0.02032735294339415,0.8399,-0.009600000000000053,10,0.125,1.8695899162106835,0.04406809058312511,1.7327508103574403,0.3761518930466618,1.1020165975721954,0.0770781090894711,1.0856684770318308,0.2514133696694971,1.095622267504447,0.056265230223275696,0.9903698366854495,0.43316133430744136,95,0.7408305921052631,0.934894821557418
228,3,1.0,0.02032735294339415,0.8399,-0.009600000000000053,4,0.125,1.8783293532553726,0.044274087791385336,1.7967623472737866,0.30523864735902634,1.0585560224705117,0.07403835546311134,0.9851422380721341,0.3742905703470044,1.1142638533672642,0.057222561186151655,0.9813333331643525,0.4922372588170433,95,0.6697779605263158,0.8670882190435263
228,3,1.0,0.02032735294339415,0.8399,-0.009600000000000053,15,0.125,2.119713890552442,0.04996376099872321,1.9460691172576405,0.39936253650100795,1.3005380271385318,0.09096325060042677,1.2932688760938391,0.19947942589231904,1.3616214746515551,0.06992550993211258,1.443960560624938,-0.06584257566082616,95,0.6118832236842106,0.8076070156575499
228,3,1.0,0.02032735294339415,0.8399,-0.009600000000000053,18,0.125,1.790046030048234,0.04219316220961028,1.7209660297227594,0.2987935804876904,1.053726622394884,0.0737005737757157,0.9761130505236253,0.38343463870154765,1.2353918263211017,0.06344303834042665,1.2243190654069909,0.18920517749532142,95,0.7743832236842105,0.9543354749641586
228,3,1.0,0.02032735294339415,0.8399,-0.009600000000000053,8,0.125,2.052861578917501,0.04838798563789382,1.8451549438919772,0.4463204186459589,1.1285697125299734,0.07893530787929857,0.9677132195109522,0.523988015207744,1.06286380323222,0.05458293278491123,0.859636613211362,0.6481615168351278,95,0.6521792763157894,0.8290776117520964
228,3,1.0,0.02032735294339415,0.8399,-0.009600000000000053,16,0.125,2.087337875211018,0.049200626171980955,1.8918100513802913,0.42876446842098903,1.1728705736673835,0.08203383345053718,0.968936227438368,0.5927274587460799,0.8414094863945356,0.043210237568345654,0.6540096045784188,0.6543504443286206,95,0.7030838815789474,0.8840283057488743
229,3,1.0,0.01979271846601995,0.8481,0.008199999999999985,19,0.125,2.242471238186606,0.05290196173154087,2.0122761436754644,0.4598312675581275,1.27424669799142,0.08963129733898462,1.109850562024688,0.5262071376597038,1.339507379011731,0.06967738576593342,1.3134705441604608,0.197390687572377,95,0.6694490131578947,0.9016030956329464
229,3,1.0,0.01979271846601995,0.8481,0.008199999999999985,7,0.125,1.6721162755775856,0.03944676289040148,1.6114495062864314,0.30206904257470923,0.9106499199566969,0.0640556760916251,0.8612520661727514,0.3479731589823148,0.7994718515392071,0.04158626483252433,0.7222767824827702,0.4592510768238113,95,0.760485197368421,0.9221951878886185
229,3,1.0,0.01979271846601995,0.8481,0.008199999999999985,18,0.125,1.76373384189375,0.04160810565576689,1.7224559967896573,0.26523719392442124,0.9430869409902206,0.06633731612383356,0.9674766072617801,0.17078508859207442,1.2791174176133442,0.06653607075514963,1.246764313516196,0.22769861812967776,95,0.7833059210526315,0.954488188976378
229,3,1.0,0.01979271846601995,0.8481,0.008199999999999985,17,0.125,2.097200490350573,0.04947489100177366,1.8775120042810427,0.4575323503664064,1.1003593410078347,0.07739995357968468,0.9385081765186135,0.5439651871059361,0.7164423076166357,0.03726730276295304,0.6345322477562589,0.49228416505165296,95,0.6615953947368421,0.8596643878185208
229,3,1.0,0.01979271846601995,0.8481,0.008199999999999985,15,0.125,1.848138317462468,0.043599284967443544,1.7559289738685278,0.32186691058597366,1.2283784166805756,0.08640489418873044,1.163025626164284,0.3229929666444935,1.3676629293338132,0.07114195787056138,1.432304145309484,-0.1948747966859678,95,0.6264391447368421,0.8418116179849032
229,3,1.0,0.01979271846601995,0.8481,0.008199999999999985,13,0.125,2.2513508513649243,0.05311143998417172,1.9993935282133715,0.48544597252883953,1.2507452673162582,0.08797819223456696,1.0518935765485484,0.5973476127668871,0.9593402106832944,0.049902164771849576,0.9795785345896574,0.035897051602124905,95,0.6960526315789474,0.8381970699432892
229,3,1.0,0.01979271846601995,0.8481,0.008199999999999985,4,0.125,1.9119562346045782,0.04510480840647265,1.77644458808972,0.37018982858903887,0.9687647330924144,0.06814350783109735,0.9100577520923434,0.3544061164105927,1.1811903681137195,0.061442182575198616,1.1655431864977157,0.16568997350003523,95,0.6685855263157895,0.8676506765067651
229,3,1.0,0.01979271846601995,0.8481,0.008199999999999985,0,0.125,1.773089671178709,0.041828818284928626,1.6862407458025155,0.32336378320925924,1.1953528831194071,0.08408185782295786,1.1976056608685999,0.17479044700873783,1.8192053524134253,0.09462991776953175,1.7496383127722543,0.3544787345267182,95,0.8247532894736842,0.9700867484295543
230,3,1.0,0.01926413808919542,0.8549,0.006800000000000028,14,0.125,2.019562394632281,0.04768265446100227,1.8621661585626836,0.3904501452019236,1.3388919614436952,0.09414503319396342,1.3364023407465127,0.1503211808071362,1.3614397298035275,0.07067009983626235,1.578030355148158,-0.5443052086214417,95,0.7020148026315789,0.8598371698002695
230,3,1.0,0.01926413808919542,0.8549,0.006800000000000028,19,0.125,1.837414740881085,0.043382077436105754,1.7416727812984822,0.3224946068408485,1.0981860485892918,0.07721964503103355,1.0401677447722661,0.3220229680925581,1.3772807351763865,0.07149238040197514,1.2329924609320158,0.5193110815475545,95,0.6909539473684211,0.9169245417757677
230,3,1.0,0.01926413808919542,0.8549,0.006800000000000028,18,0.125,1.7994951292602865,0.04248678064160431,1.690104044731829,0.34514658301873213,1.068911210984703,0.07516116635060284,1.026448466906375,0.2882365552505517,1.27056675425938,0.06595303295953038,1.3745944528425011,-0.1743422676520816,95,0.7871299342105263,0.9555973462884605
230,3,1.0,0.01926413808919542,0.8549,0.006800000000000028,10,0.125,1.7911364100218365,0.04228942802588772,1.6747476128891616,0.35559022012677427,1.0727222834311383,0.07542914431470038,0.9651932241911342,0.4446949333296167,1.0691790695471943,0.055499329080580306,0.9333723511550068,0.5282611575235198,95,0.7428865131578948,0.9357945425361156
230,3,1.0,0.01926413808919542,0.8549,0.006800000000000028,5,0.125,1.9248553147568914,0.045446583430609075,1.7675822605104874,0.3981822279741805,1.094329995629399,0.0769485042337467,0.9718670702481621,0.47611736592399717,1.057278460432344,0.05488158801144009,0.8941355825518368,0.5972784034019951,95,0.7240542763157894,0.8549037424044522
230,3,1.0,0.01926413808919542,0.8549,0.006800000000000028,1,0.125,1.8965597749376422,0.04477851471850847,1.7547493908800609,0.37988648493171506,1.2288610063976637,0.08640813715344764,1.125849445458176,0.41293551219374985,1.8439089499725316,0.09571428446732763,1.606611522808542,0.7325241622385755,95,0.6662417763157895,0.926988829229155
230,3,1.0,0.01926413808919542,0.8549,0.006800000000000028,9,0.125,1.8314851868756767,0.04324207835734532,1.7437018268259892,0.31204157001835753,0.9188138829515532,0.06460697800909612,0.8744750014402496,0.3219565978594808,0.7812145517450586,0.04055156402210438,0.72106437441257,0.3889059655815878,95,0.7078947368421052,0.8571096654275093
230,3,1.0,0.01926413808919542,0.8549,0.006800000000000028,8,0.125,2.032306455395433,0.047983546697565244,1.8796361877427554,0.3830660941306739,1.105828778065658,0.07775704837720729,1.024465456088346,0.37761809420529724,0.826112370267921,0.042882136024655654,0.8236725753070034,0.2175704979291402,95,0.6606496710526316,0.7985311508059999
231,3,1.0,0.01874166977771553,0.8485,-0.006399999999999961,13,0.125,1.809423084607292,0.04275906655915223,1.6801622417892608,0.37269948856868235,0.8902343738398018,0.06268081974949025,0.834109997014275,0.34985009136401685,0.8623794297178832,0.0450698637713826,0.8475626918823791,0.22333795358761968,95,0.7028782894736842,0.8650403650403651
231,3,1.0,0.01874166977771553,0.8485,-0.006399999999999961,0,0.125,1.7136175022983584,0.04049505362291011,1.6174137939535187,0.33141525820386597,1.1800599699704026,0.08308725032966893,1.1244945981013095,0.3045302371464566,1.8811198350324727,0.09831149930175698,1.728497746970906,0.5664260150770355,95,0.819983552631579,0.9720690001002908
231,3,1.0,0.01874166977771553,0.8485,-0.006399999999999961,18,0.125,1.6453548153950868,0.038881915823556205,1.5683541126585987,0.3090039224760706,0.9164496215627421,0.06452661818807712,0.8599390788703913,0.34587228174401685,1.3885675161557278,0.07256962148433767,1.2079735212439673,0.6692820256514317,95,0.7880345394736842,0.9574223845551787
231,3,1.0,0.01874166977771553,0.8485,-0.006399999999999961,16,0.125,1.9384944789959646,0.04580919474116647,1.7583250717774175,0.43827553548080195,1.0770488822620552,0.07583430704800706,0.9803379616022215,0.4345328988781311,0.8554596118616142,0.044708218725875375,0.7431041432587742,0.5246644201179811,95,0.7025082236842105,0.8810652619256658
231,3,1.0,0.01874166977771553,0.8485,-0.006399999999999961,1,0.125,1.7312598993414132,0.04091196685666091,1.654115864169061,0.30012258422214305,1.1015747120995896,0.07756115467872976,1.1113993061304142,0.11789766160108216,1.7651560960407238,0.09225097682328359,1.8832127794997773,-0.31999661111541605,95,0.6768914473684211,0.9231563601020533
231,3,1.0,0.01874166977771553,0.8485,-0.006399999999999961,3,0.125,1.8824832145130523,0.04448557429746747,1.726314982962611,0.40694858609883344,0.9917989221460445,0.06983191313837302,0.8986605263182631,0.43651346214854164,1.0475123121354115,0.054745319264205526,0.9182479903700839,0.5465875756295405,95,0.7240131578947369,0.8514879600181735
231,3,1.0,0.01874166977771553,0.8485,-0.006399999999999961,9,0.125,1.826250627678002,0.04315672371314154,1.7358886165743672,0.31161112773592403,1.0231961631973119,0.07204257233644161,0.962060574708394,0.341209703366376,0.6027758044953374,0.03150240190930548,0.6778145189471796,-0.015060947739863061,95,0.7092927631578947,0.8339710144927536
231,3,1.0,0.01874166977771553,0.8485,-0.006399999999999961,10,0.125,1.61531618755074,0.03817206322011117,1.5589081401998646,0.2802344433070026,1.05245233316098,0.07410248012021264,1.0273458881176256,0.2310594234247164,0.9920218724824705,0.05184526568037836,1.1005219037737441,-0.2283885399169836,95,0.7515213815789473,0.9382283744597034
232,3,1.0,0.01822537082611828,0.8513,0.0027999999999999137,1,0.125,1.7246383755278403,0.04078911511545446,1.6556500323033694,0.28905444205579384,1.1420969433708432,0.08039272142830908,1.1897651276601613,0.019369510806056426,1.83932119813767,0.09590724740130159,1.922265507111086,-0.21697307691260398,95,0.6664473684210527,0.9192374136229022
232,3,1.0,0.01822537082611828,0.8513,0.0027999999999999137,18,0.125,1.6143096959711374,0.038179751161346046,1.5273399784596426,0.3287331100309613,0.9360993385615498,0.0658924566701754,0.8496805699311409,0.4216655085489659,1.1366327632330173,0.05926714688994452,0.9932875136475313,0.5937320432967577,95,0.7798108552631579,0.9565515423147904
232,3,1.0,0.01822537082611828,0.8513,0.0027999999999999137,8,0.125,1.8267963024474283,0.043205234053897965,1.6702979716159132,0.41104026511831376,0.9603063659327472,0.0675964002971642,0.8419670005770985,0.4971991031387087,0.6609988290261394,0.03446629022248436,0.5500801705791436,0.5709518217396591,95,0.6743421052631579,0.8698780487804878
232,3,1.0,0.01822537082611828,0.8513,0.0027999999999999137,7,0.125,1.672851986743549,0.039564324455853346,1.5632749146917555,0.3563159988886168,0.9960460892419157,0.07011213561770423,0.911107569485452,0.4070894146209945,0.8717191010571117,0.045453822624441365,0.7722130074296331,0.4913101155821132,95,0.7759457236842106,0.9312172115945101
232,3,1.0,0.01822537082611828,0.8513,0.0027999999999999137,14,0.125,1.816010160512135,0.042950132931660875,1.7126452549936606,0.33271097886914575,1.27664937307308,0.08986392793257315,1.1517035302754275,0.47308503653783307,1.389265316009487,0.07244010045851516,1.2860395115979621,0.4492571109117176,95,0.7028371710526315,0.8848066459954367
232,3,1.0,0.01822537082611828,0.8513,0.0027999999999999137,5,0.125,1.8102283338918692,0.04281338797982746,1.6558978274517078,0.40931586009996734,0.9714157247880559,0.06837839310161561,0.9164108096919934,0.33339530834333986,0.7444520918106221,0.038817772023716855,0.6856736297534599,0.3894718470861837,95,0.7284128289473685,0.8581992661586226
232,3,1.0,0.01822537082611828,0.8513,0.0027999999999999137,11,0.125,1.5873537948463974,0.03754222194384773,1.4833166224439533,0.35771959254181135,0.9333999654472908,0.06570244657333967,0.8269798665118582,0.4725271636107078,1.010451628716199,0.05268771677315227,0.9363042040087354,0.39073879146341367,95,0.8159539473684211,0.9599879056641806
232,3,1.0,0.01822537082611828,0.8513,0.0027999999999999137,15,0.125,1.8651866186106496,0.04411319658535971,1.7345293285444043,0.3694261733769847,1.1803190691691337,0.08308319418505299,1.1793404491291783,0.15366055998971753,1.388137851027544,0.07238131134486335,1.43592965908388,-0.06562560444143138,95,0.6250822368421053,0.8404157347717406
233,3,1.0,0.01771529785240183,0.8534,0.002100000000000102,1,0.125,1.6973738049738907,0.04017810478382804,1.6004781977050342,0.33359403071745347,1.1772191734506303,0.08317345331576383,1.0626897766906283,0.4714091108207623,1.8933514514473997,0.09884902554144151,1.7302024682717767,0.46559404542187655,95,0.6735197368421053,0.919047619047619
233,3,1.0,0.01771529785240183,0.8534,0.002100000000000102,9,0.125,1.8221066099798213,0.04313062337155667,1.6518399173518903,0.43534167962743,0.9746892931167542,0.06886421513234128,0.8688661317333454,0.4733108617349358,0.9242958770723625,0.048256094604479896,0.6905036393765421,0.6970986690834712,95,0.7038651315789474,0.8657553452506134
